bus501_id,x_501,y_501,bus385_id,x_385,y_385
way/230134599-275,-6.615797088,54.73025042,6038,-0.589142,53.624281
way/339008021-275,-5.767923224,54.72709864,7946,-0.845947,53.622652
relation/11543333-400,-1.555028214,54.70567199,6043,-0.164795,53.59984
way/1297690788-275,-1.292040148,54.70055665,5976,-2.146454,53.59984
way/311840838-275,-1.183275602,54.63566251,5975,-2.146454,53.59984
way/97561542-275,-1.116723104,54.60650024,8022,-2.738342,53.585984
way/43303585-400,-1.237484927,54.60561177,5972,-2.650452,53.583538
way/43303585-275,-1.237757734,54.60539426,6028,-1.100006,53.566414
way/43472283-400,-1.364576157,54.59241214,6027,-1.100006,53.566414
way/43472283-275,-1.364848222,54.59219436,6042,-0.181274,53.560705
way/227495569-275,-1.148808621,54.58058953,5928,-2.831726,53.533778
way/166764802-275,-6.027411367,54.57472272,5978,-2.340088,53.526432
way/109730296-400,-1.13128574,54.56684399,5977,-2.340088,53.526432
way/109730296-275,-1.131558865,54.56662671,5982,-2.216492,53.519084
way/148266260-275,-5.878190233,54.56248157,5993,-1.700134,53.491314
way/142397822-400,-1.160724325,54.52456442,5992,-2.032471,53.490497
way/227767022-275,-6.68167629,54.51194014,5991,-2.032471,53.490497
way/209404646-400,-1.229525146,54.50409955,5995,-1.612244,53.443899
way/227767019-275,-6.425293877,54.36994294,5994,-1.612244,53.443899
relation/11051275-400,-2.670464759,54.29765311,5973,-2.772675,53.443081
way/94004582-400,-2.890654295,54.03254088,5927,-2.948456,53.436537
way/94004582-220,-2.890915193,54.03231995,5997,-1.561432,53.429992
way/186747788-275,-1.488131583,54.03126418,5983,-2.25769,53.420991
GB18-400,-2.91670123,54.02987179,5980,-2.389526,53.420172
GB19-220,-3.6660007,54.015637,5979,-2.389526,53.420172
GB20-400,-2.755971765,54.01281882,5999,-1.451569,53.415262
way/109463536-275,-1.131544931,53.97496121,5984,-2.110748,53.41035
way/90125443-400,-1.023372145,53.95680107,6029,-1.327972,53.407076
GB21-220,1.6306869,53.9394081,5998,-1.516113,53.400526
way/25629803-400,-0.822070901,53.90040029,5974,-2.682037,53.383328
way/310495264-400,-2.988690799,53.87899354,5926,-3.047333,53.373498
GB22-400,-2.933961224,53.87556701,6030,-1.380157,53.369401
GB23-275,-1.2972567,53.8695026,5923,-4.405518,53.369401
way/142841192-400,-1.865806421,53.81050283,6033,-0.709991,53.366124
way/142841192-275,-1.866071342,53.81028405,8029,-1.344953617,53.36177669
way/25492769-275,-1.598045298,53.80629037,5996,-1.632843,53.351371
way/33917128-400,-0.415009106,53.80058931,5981,-2.344208,53.346452
way/33917128-275,-0.415371661,53.80049727,6031,-1.367798,53.333333
relation/7894483-400,-2.321915579,53.79518999,6007,-1.546326,53.301338
relation/10925187-275,-1.49655456,53.77709845,6001,-2.69989,53.297235
GB24-220,1.6376833,53.766543,6000,-2.69989,53.297235
way/90547674-400,-1.266384519,53.75646594,6009,-1.426849,53.287384
way/90547674-275,-1.266652175,53.75624844,6008,-1.426849,53.287384
way/635836276-275,-0.23190657,53.74707796,6046,-0.712738,53.271783
relation/7894975-400,-2.756387537,53.74403959,5932,-3.556824,53.268498
relation/7894975-275,-2.756647537,53.74381896,5941,-2.944336,53.24796
GB25-400,-1.8053122,53.7437311,5940,-2.944336,53.24796
way/160580052-400,-0.992442548,53.73621727,8838,-2.1698,53.243852
GB26-275,-1.831285551,53.72329819,6006,-2.094269,53.24303
way/193617444-400,-1.282706275,53.71799411,6005,-2.094269,53.24303
way/193617444-275,-1.282973628,53.71777657,8023,-3.574677,53.215079
way/313495269-400,-1.129891872,53.71333149,8575,-2.136841,53.213435
GB27-400,-2.4534812,53.7101582,6045,-0.909119,53.2085
way/164380199-275,-1.823010824,53.6944609,6044,-0.909119,53.2085
GB28-275,-1.804010541,53.67674115,6010,-1.499634,53.206033
way/701436399-400,-0.260550884,53.65684662,5939,-3.106384,53.164887
way/701436399-220,-0.260823016,53.65663129,5929,-4.21875,53.148418
GB29-275,-2.0685211,53.6559798,5930,-4.11026,53.111339
GB30-400,-0.7254893,53.6436974,7412,-3.115997,53.063501
way/257311344-400,-0.238416875,53.63835871,6048,-0.8638,53.057723
GB31-400,-1.0692832,53.6366337,5931,-4.025116,53.037084
GB32-400,-0.2943457,53.6272955,6052,-0.111237,53.035433
way/163036722-400,-2.216078343,53.62191256,5942,-3.011627,52.966011
way/163036722-275,-2.216340426,53.62169306,7909,-0.208961174,52.96006764
GB33-400,-1.284845914,53.61097403,6047,-0.999756,52.942845
GB34-400,-1.2528935,53.6096987,8283,-0.027466,52.864985
way/313180501-400,-0.146144683,53.60139848,5934,-3.886414,52.860839
relation/7881280-400,-0.756037109,53.59806107,5933,-3.886414,52.860839
GB35-400,-0.232903,53.5904792,6050,-1.218109,52.858352
way/785730495-400,-1.088785654,53.57872645,6049,-1.218109,52.858352
way/785730495-275,-1.089053186,53.57850934,6014,-1.590271,52.837617
