LoadID,bus_name,load_weight,RegionName
268,way/701436399-400,0.002548665,Grimsby West
269,way/160279525-400,0.002987824,Grimsby West
270,way/313180501-400,0.00179622,Grimsby West
271,way/143905069-275,0.003348252,Staythorpe
272,way/143905069-275,0.003348252,Staythorpe
273,way/314338790-400,0.00217798,Staythorpe
274,way/472164401-400,0.00518632,Stoke Bardolph
275,way/91003253-400,0.00258734,Staythorpe
276,relation/13110368-400,0.00491984,Willington
277,relation/13110368-400,0.00491984,Willington
278,way/90534270-400,0.005608177,Enderby
279,way/895564309-400,0.002805288,
280,way/376450057-400,0.005149184,
281,way/212779654-275,0.000456971,Wishaw
282,way/239248206-400,0.000175835,Fasnakyle
283,way/68515955-400,0.000113409,Beauly
284,way/68515955-400,0.000113409,Beauly
285,way/820229174-275,0.00042712,Inverness
286,relation/8087295-275,6.97E-05,Dounreay
287,way/495624575-275,0.000271889,Thurso
288,way/1262971878,9.40E-05,Mybster
289,way/568527671,0.000204346,Keith
290,way/1185489725-220,0.000277877,Keith
291,way/1185489725-220,0.000277877,Keith
292,way/1263095953-400,9.10E-05,Fort Augustus
293,way/1263095953-400,9.10E-05,Fort Augustus
294,way/307717807-275,0.000256385,Taynuilt
295,way/307769998-275,0.000109443,Ardkinglas
296,way/1307462736-275,3.01E-05,Sloy
297,way/91056548-400,0.000209984,Devol Moor
298,way/86071326-275,0.000198241,Drumchapel
299,way/86071326-275,0.000198241,Drumchapel
300,way/166703759-275,0.0002172,Port Dundas
301,way/109073025-275,0.000459511,Port Dundas
302,way/495512692-400,0.000205296,Tummel Bridge
303,way/111528318-220,0.000318101,Glenagnes
304,way/422486984-275,0.000310561,Bonnybridge
305,way/422486984-275,0.000310561,Bonnybridge
306,way/119315557-275,0.00058078,Dalmarnock
307,way/308724719-275,0.000656251,Coatbridge
308,way/308724719-275,0.000681328,Coatbridge
309,GB10-275,0.000426137,Devonside
310,way/76468460-275,0.000759579,Grangemouth
311,way/76468460-275,0.000395727,Grangemouth
312,way/76468460-275,0.000395727,Grangemouth
313,way/730870685-275,0.000465506,Grangemouth
314,way/59736773-275,0.000449915,Glenrothes
315,way/95374266-275,0.000378563,Westfield
316,way/89699558-275,0.000394485,Glenniston
317,way/40685663-275,0.000532038,Whitehouse
318,way/40685663-275,0.000450943,Whitehouse
319,way/32342648-275,0.000763891,Portobello
320,way/32342648-275,0.000981123,Portobello
321,way/27163121-400,0.000920673,Kaimes
322,way/96905262-400,0.000552167,Cockenzie
323,way/96905262-400,0.000552167,Cockenzie
324,way/65482882-400,0.000450108,Cockenzie
325,way/65482882-400,0.000450108,Cockenzie
326,way/133323988-275,0.00017074,Peterhead Shell
327,way/118821349-275,0.00027238,Kintore
328,GB7-275,0.000298533,Persley
329,way/262523325-400,0.000235675,Dunbar
330,way/262523325-400,0.0003087,Dunbar
331,way/97551523-400,0.00028987,Dunbar
332,GB50-400,0.00328626,Legacy
333,way/895564309-400,0.002791558,
334,way/92340133-400,0.004015561,East Claydon
335,relation/7879831-400,0.006343895,Swansea North
336,relation/7879831-400,0.006285788,Swansea North
337,GB58-275,0.003720849,Hams Hall
338,GB58-275,0.003720849,Hams Hall
339,way/280317944-220,0.001668085,Connahs Quay
340,way/115530033-400,0.00319855,Cowley
341,way/87464485-400,0.003650158,Rye House
342,way/159736514-275,0.003908365,Templeborough
343,way/96107758-275,0.004240035,Feckenham
344,way/96107758-275,0.004240035,Feckenham
345,GB16-400,0.001856074,Stella South
346,way/95895489-400,0.002131194,Rassau
347,way/308802191-275,0.000335873,East Kilbride South
348,GB7-275,0.000307457,Persley
349,relation/7881280-400,0.001948839,Keadby
350,way/23228569-275,0.003468258,Brimsdown
351,way/32604320-275,0.003479941,Littlebrook (_J)
352,way/95895489-400,0.003161733,Rassau
353,GB13-400,0.000407307,Cockenzie
354,way/95895489-400,0.001279446,Rassau
355,way/96905262-275,0.000982567,Cockenzie
356,way/143383456-400,0.000650566,Linnmill
357,way/166703758-275,0.000494808,Giffnock
358,way/89038614-400,0.00226966,Eaton Socon
359,way/92419253-275,0.005995214,Macclesfield
360,GB59-275,0.005358083,Bishops Wood
361,GB59-275,0.005358083,Bishops Wood
362,way/41710456-400,0.006151139,Amersham Main
363,way/59736773-275,0.000392945,Glenrothes
364,way/76468460-275,0.000412101,Grangemouth
365,way/96905262-275,0.000511492,Cockenzie
366,GB22-400,0.003074537,Stanah
367,way/92458761-275,0.004771756,Penn
368,way/81098733-275,0.001552903,Washway Farm
369,way/166703758-275,0.000383757,Giffnock
370,way/92458761-275,0.003351498,Penn
371,way/92458761-275,0.003351498,Penn
372,way/89836009-275,0.000396446,Bainsford
373,way/87464485-400,0.004038196,Rye House
374,way/87464485-400,0.004038196,Rye House
375,GB30-400,0.003697272,Keadby
376,way/92340133-400,0.004332111,East Claydon
377,way/143383456-400,0.000496593,Linnmill
378,GB20-400,0.002247427,Heysham
379,way/26938722-400,0.002896745,Abham
380,way/495512692-400,7.76E-05,Tummel Bridge
381,GB71-275,0.001418559,Upper Boat
382,GB52-400,0.005545215,
383,way/87464485-400,0.004038196,Rye House
384,way/87464485-400,0.004038196,Rye House
385,relation/7886014-400,0.003016539,Ironbridge
