LAD21CD,LAD21NM,LAU121CD,LAU121NM,ITL321CD,ITL321NM,ITL221CD,ITL221NM,ITL121CD,ITL121NM,ObjectId
E06000060,Buckinghamshire,E06000060,Buckinghamshire,TLJ13,Buckinghamshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),336
E07000177,Cherwell,E07000177,Cherwell,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),337
E07000178,Oxford,E07000178,Oxford,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),338
E07000179,South Oxfordshire,E07000179,South Oxfordshire,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),339
E07000180,Vale of White Horse,E07000180,Vale of White Horse,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),340
E07000181,West Oxfordshire,E07000181,West Oxfordshire,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),341
E06000043,Brighton and Hove,E06000043,Brighton and Hove,TLJ21,Brighton and Hove,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),342
E07000061,Eastbourne,E07000061,Eastbourne,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),343
E07000062,Hastings,E07000062,Hastings,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),344
E07000063,Lewes,E07000063,Lewes,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),345
E07000064,Rother,E07000064,Rother,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),346
E07000065,Wealden,E07000065,Wealden,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),347
E07000207,Elmbridge,E07000207,Elmbridge,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),348
E07000209,Guildford,E07000209,Guildford,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),349
E07000212,Runnymede,E07000212,Runnymede,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),350
E07000213,Spelthorne,E07000213,Spelthorne,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),351
E07000214,Surrey Heath,E07000214,Surrey Heath,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),352
E07000216,Waverley,E07000216,Waverley,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),353
E07000217,Woking,E07000217,Woking,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),354
E07000208,Epsom and Ewell,E07000208,Epsom and Ewell,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),355
E07000210,Mole Valley,E07000210,Mole Valley,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),356
E07000211,Reigate and Banstead,E07000211,Reigate and Banstead,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),357
E07000215,Tandridge,E07000215,Tandridge,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),358
E07000223,Adur,E07000223,Adur,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),359
E07000224,Arun,E07000224,Arun,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),360
E07000225,Chichester,E07000225,Chichester,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),361
E07000229,Worthing,E07000229,Worthing,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),362
E07000226,Crawley,E07000226,Crawley,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),363
E07000227,Horsham,E07000227,Horsham,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),364
E07000228,Mid Sussex,E07000228,Mid Sussex,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),365
E06000044,Portsmouth,E06000044,Portsmouth,TLJ31,Portsmouth,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),366
E06000045,Southampton,E06000045,Southampton,TLJ32,Southampton,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),367
E06000046,Isle of Wight,E06000046,Isle of Wight,TLJ34,Isle of Wight,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),368
E07000086,Eastleigh,E07000086,Eastleigh,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),369
E07000087,Fareham,E07000087,Fareham,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),370
E07000088,Gosport,E07000088,Gosport,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),371
E07000090,Havant,E07000090,Havant,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),372
E07000085,East Hampshire,E07000085,East Hampshire,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),373
E07000091,New Forest,E07000091,New Forest,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),374
E07000093,Test Valley,E07000093,Test Valley,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),375
E07000094,Winchester,E07000094,Winchester,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),376
E07000084,Basingstoke and Deane,E07000084,Basingstoke and Deane,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),377
E07000089,Hart,E07000089,Hart,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),378
E07000092,Rushmoor,E07000092,Rushmoor,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),379
E06000035,Medway,E06000035,Medway,TLJ41,Medway,TLJ4,Kent,TLJ,South East (England),380
E07000107,Dartford,E07000107,Dartford,TLJ43,Kent Thames Gateway,TLJ4,Kent,TLJ,South East (England),381
E07000109,Gravesham,E07000109,Gravesham,TLJ43,Kent Thames Gateway,TLJ4,Kent,TLJ,South East (England),382
E07000113,Swale,E07000113,Swale,TLJ43,Kent Thames Gateway,TLJ4,Kent,TLJ,South East (England),383
E07000106,Canterbury,E07000106,Canterbury,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England),384
E07000108,Dover,E07000108,Dover,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England),385
E07000112,Folkestone and Hythe,E07000112,Folkestone and Hythe,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England),386
E07000114,Thanet,E07000114,Thanet,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England),387
E07000105,Ashford,E07000105,Ashford,TLJ45,Mid Kent,TLJ4,Kent,TLJ,South East (England),388
