FID,ONScode,ONSname,Region,BodyType,Battery electric (Company),Battery electric (Private),Battery electric (Total),Total (Company),Total (Private),Total (Total),Shape__Area,Shape__Length
249,E08000009,Trafford,North West,Heavy goods vehicles,5,0,5,5,0,5,106044604.785675,60714.9991313479
250,E08000010,Wigan,North West,Heavy goods vehicles,0,0,0,0,0,0,188171014.795837,88682.4116794718
251,E08000011,Knowsley,North West,Heavy goods vehicles,2,0,2,2,0,2,86500031.7274017,68163.8832839651
252,E08000012,Liverpool,North West,Heavy goods vehicles,0,0,0,0,0,0,111835593.626411,62696.5993588289
253,E08000013,St. Helens,North West,Heavy goods vehicles,1,0,1,1,0,1,136358780.853088,76379.812216368
254,E08000014,Sefton,North West,Heavy goods vehicles,11,0,11,11,0,11,156578258.79126,130341.257310849
255,E08000015,Wirral,North West,Heavy goods vehicles,0,0,0,0,0,0,160922004.907288,133924.121231149
256,E08000016,Barnsley,Yorkshire and The Humber,Heavy goods vehicles,12,0,12,12,0,12,329077576.743942,126418.480693044
257,E08000017,Doncaster,Yorkshire and The Humber,Heavy goods vehicles,0,1,1,0,1,1,568006431.217484,171113.010006791
258,E08000018,Rotherham,Yorkshire and The Humber,Heavy goods vehicles,6,0,6,6,0,6,286534378.866501,106146.658844867
259,E08000019,Sheffield,Yorkshire and The Humber,Heavy goods vehicles,2,0,2,2,0,2,367929997.213348,132824.242952116
260,E08000021,Newcastle upon Tyne,North East,Heavy goods vehicles,1,0,1,1,0,1,113451801.243317,65213.8280471217
261,E08000022,North Tyneside,North East,Heavy goods vehicles,0,0,0,0,0,0,82300621.1451874,65595.8023921869
262,E08000023,South Tyneside,North East,Heavy goods vehicles,1,0,1,1,0,1,64420334.6034393,51335.0171606378
263,E08000024,Sunderland,North East,Heavy goods vehicles,3,0,3,3,0,3,137436290.144424,99821.9690448938
264,E08000025,Birmingham,West Midlands,Heavy goods vehicles,1,0,1,1,0,1,267791151.73967,106250.794014248
265,E08000026,Coventry,West Midlands,Heavy goods vehicles,1,0,1,1,0,1,98639088.6562881,54052.4494128151
266,E08000027,Dudley,West Midlands,Heavy goods vehicles,2,0,2,2,0,2,97958229.5149384,75372.2907122196
267,E08000028,Sandwell,West Midlands,Heavy goods vehicles,1,0,1,1,0,1,85558906.1847763,59201.6852450065
268,E08000029,Solihull,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,178282023.161247,101023.266819082
269,E08000030,Walsall,West Midlands,Heavy goods vehicles,2,0,2,2,0,2,103973530.000946,59399.7390444176
270,E08000031,Wolverhampton,West Midlands,Heavy goods vehicles,3,0,3,3,0,3,69436685.1266327,56050.1278266087
271,E08000032,Bradford,Yorkshire and The Humber,Heavy goods vehicles,1,0,1,1,0,1,366419689.51532,135914.965732405
272,E08000033,Calderdale,Yorkshire and The Humber,Heavy goods vehicles,18,0,18,18,0,18,363960946.597305,107684.893783348
273,E08000034,Kirklees,Yorkshire and The Humber,Heavy goods vehicles,2,0,2,2,0,2,408551667.407288,125665.908370181
274,E08000035,Leeds,Yorkshire and The Humber,Heavy goods vehicles,74,1,75,74,1,75,551706498.093048,161516.600530211
275,E08000036,Wakefield,Yorkshire and The Humber,Heavy goods vehicles,0,0,0,0,0,0,338619719.483505,109444.438663069
276,E08000037,Gateshead,North East,Heavy goods vehicles,0,0,0,0,0,0,142339149.241318,90175.8152669966
277,E09000001,City of London,London,Heavy goods vehicles,0,0,0,0,0,0,2890318.44403076,9377.81467502522
278,E09000002,Barking and Dagenham,London,Heavy goods vehicles,0,0,0,0,0,0,36101455.4189529,40898.4282753648
279,E09000003,Barnet,London,Heavy goods vehicles,0,0,0,0,0,0,86748227.8831329,50815.5975177389
280,E09000004,Bexley,London,Heavy goods vehicles,0,0,0,0,0,0,60578408.1245193,47931.4230818983
281,E09000005,Brent,London,Heavy goods vehicles,0,0,0,0,0,0,43232684.1274872,38331.001751277
282,E09000006,Bromley,London,Heavy goods vehicles,0,0,0,0,0,0,150130427.159538,76141.6277070387
283,E09000007,Camden,London,Heavy goods vehicles,0,0,0,0,0,0,21789308.595253,26149.495598481
284,E09000008,Croydon,London,Heavy goods vehicles,0,0,0,0,0,0,86496808.3293228,58688.2842361555
285,E09000009,Ealing,London,Heavy goods vehicles,0,0,0,0,0,0,55544376.032196,47432.5829098616
286,E09000010,Enfield,London,Heavy goods vehicles,4,0,4,4,0,4,82200174.297287,41061.1111768429
287,E09000011,Greenwich,London,Heavy goods vehicles,1,0,1,1,0,1,47307031.4329834,47566.9752848355
288,E09000012,Hackney,London,Heavy goods vehicles,0,0,0,0,0,0,19046912.9773788,25374.028868182
289,E09000013,Hammersmith and Fulham,London,Heavy goods vehicles,2,0,2,2,0,2,16403545.8968506,23966.1399241039
290,E09000014,Haringey,London,Heavy goods vehicles,0,0,0,0,0,0,29598417.6468964,29011.100205627
291,E09000015,Harrow,London,Heavy goods vehicles,0,0,0,0,0,0,50463307.3829956,33734.608106147
292,E09000016,Havering,London,Heavy goods vehicles,0,0,0,0,0,0,112341328.142738,63706.9860246864
293,E09000017,Hillingdon,London,Heavy goods vehicles,1,0,1,1,0,1,115700600.050133,63883.1561402854
294,E09000018,Hounslow,London,Heavy goods vehicles,2,0,2,2,0,2,55970470.8641586,64471.2436618718
295,E09000019,Islington,London,Heavy goods vehicles,13,0,13,13,0,13,14856680.6578674,20720.1949694478
296,E09000020,Kensington and Chelsea,London,Heavy goods vehicles,0,0,0,0,0,0,12125528.5328598,20963.4584035467
297,E09000021,Kingston upon Thames,London,Heavy goods vehicles,0,0,0,0,0,0,37265392.9152222,37527.9493942753
298,E09000022,Lambeth,London,Heavy goods vehicles,0,0,0,0,0,0,26807914.5192261,33999.8604751881
299,E09000023,Lewisham,London,Heavy goods vehicles,0,0,0,0,0,0,35148365.9241028,41158.0294216116
300,E09000024,Merton,London,Heavy goods vehicles,0,0,0,0,0,0,37624746.5277786,32340.3771201137
301,E09000025,Newham,London,Heavy goods vehicles,1,0,1,1,0,1,36198118.0374069,35772.3133095239
302,E09000026,Redbridge,London,Heavy goods vehicles,8,0,8,8,0,8,56403472.4249954,50426.1191048432
303,E09000027,Richmond upon Thames,London,Heavy goods vehicles,0,0,0,0,0,0,57393447.9808273,68787.7012682714
304,E09000028,Southwark,London,Heavy goods vehicles,0,0,0,0,0,0,28876525.9301224,34570.9765509178
305,E09000029,Sutton,London,Heavy goods vehicles,0,0,0,0,0,0,43842789.962265,39804.2153145852
306,E09000030,Tower Hamlets,London,Heavy goods vehicles,3,0,3,3,0,3,19770856.8000107,28746.8910481568
307,E09000031,Waltham Forest,London,Heavy goods vehicles,0,0,0,0,0,0,38807995.9513626,33326.6907765963
308,E09000032,Wandsworth,London,Heavy goods vehicles,0,0,0,0,0,0,34257039.1979294,38789.7703657056
309,E09000033,Westminster,London,Heavy goods vehicles,2,0,2,2,0,2,21477144.2528915,27425.6050038667
310,N09000001,Antrim and Newtownabbey,Northern Ireland,Heavy goods vehicles,1,0,1,1,0,1,728186534.01133,165066.961090158
311,N09000002,"Armagh City, Banbridge and Craigavon",Northern Ireland,Heavy goods vehicles,0,0,0,0,0,0,1437068573.07787,242954.335395177
312,N09000003,Belfast,Northern Ireland,Heavy goods vehicles,0,0,0,0,0,0,137716652.025108,65866.7852260913
313,N09000004,Causeway Coast and Glens,Northern Ireland,Heavy goods vehicles,0,0,0,0,0,0,1985534670.71793,381026.18387915
314,N09000005,Derry City and Strabane,Northern Ireland,Heavy goods vehicles,0,0,0,0,0,0,1251241580.2269,271397.40327128
315,N09000006,Fermanagh and Omagh,Northern Ireland,Heavy goods vehicles,0,0,0,0,0,0,3012114892.36445,426437.771573504
316,N09000007,Lisburn and Castlereagh,Northern Ireland,Heavy goods vehicles,1,0,1,1,0,1,510438048.321739,167278.148593367
317,N09000008,Mid and East Antrim,Northern Ireland,Heavy goods vehicles,0,0,0,0,0,0,1061355460.9354,234604.730290033
318,N09000009,Mid Ulster,Northern Ireland,Heavy goods vehicles,0,0,0,0,0,0,1957293776.36245,318306.174447411
319,N09000010,"Newry, Mourne and Down",Northern Ireland,Heavy goods vehicles,0,0,0,0,0,0,1682340596.67157,379481.25491599
320,N09000011,Ards and North Down,Northern Ireland,Heavy goods vehicles,0,0,0,0,0,0,566472991.274521,203349.301102071
321,S12000005,Clackmannanshire,Scotland,Heavy goods vehicles,0,0,0,0,0,0,159184968.76619,96933.0750418422
322,S12000006,Dumfries and Galloway,Scotland,Heavy goods vehicles,0,0,0,0,0,0,6436567194.68687,1207331.30286274
323,S12000008,East Ayrshire,Scotland,Heavy goods vehicles,0,0,0,0,0,0,1270345623.57393,341126.501410668
324,S12000010,East Lothian,Scotland,Heavy goods vehicles,0,0,0,0,0,0,679240459.691589,202120.828124236
325,S12000011,East Renfrewshire,Scotland,Heavy goods vehicles,1,0,1,1,0,1,174247286.301239,93982.4588278508
326,S12000013,Na h-Eileanan Siar,Scotland,Heavy goods vehicles,1,0,1,1,0,1,3096614423.02372,3871025.95969535
327,S12000014,Falkirk,Scotland,Heavy goods vehicles,1,0,1,1,0,1,297137422.788071,169016.307883955
328,S12000017,Highland,Scotland,Heavy goods vehicles,0,0,0,0,0,0,26158740580.2084,5228318.65637805
329,S12000018,Inverclyde,Scotland,Heavy goods vehicles,0,0,0,0,0,0,161948610.940994,79316.9463659007
330,S12000019,Midlothian,Scotland,Heavy goods vehicles,0,0,0,0,0,0,355272051.807449,126464.604454531
331,S12000020,Moray,Scotland,Heavy goods vehicles,1,0,1,1,0,1,2237555713.50238,463319.000621918
332,S12000021,North Ayrshire,Scotland,Heavy goods vehicles,0,0,0,0,0,0,885284482.723328,350191.827776382
333,S12000023,Orkney Islands,Scotland,Heavy goods vehicles,0,0,0,0,0,0,1015036066.02127,1203102.77977173
334,S12000026,Scottish Borders,Scotland,Heavy goods vehicles,0,0,0,0,0,0,4739166535.68079,514368.510110611
335,S12000027,Shetland Islands,Scotland,Heavy goods vehicles,0,0,0,0,0,0,1468514139.09113,2321846.76573869
336,S12000028,South Ayrshire,Scotland,Heavy goods vehicles,2,0,2,2,0,2,1224367576.00628,334928.359876579
337,S12000029,South Lanarkshire,Scotland,Heavy goods vehicles,0,0,0,0,0,0,1773890203.27654,284613.8566307
338,S12000030,Stirling,Scotland,Heavy goods vehicles,0,0,0,0,0,0,2252534182.27551,374959.25805914
339,S12000033,Aberdeen City,Scotland,Heavy goods vehicles,0,0,0,0,0,0,185571286.389832,123488.10079458
340,S12000034,Aberdeenshire,Scotland,Heavy goods vehicles,0,0,0,0,0,0,6318005998.97935,795098.949301964
341,S12000035,Argyll and Bute,Scotland,Heavy goods vehicles,0,0,0,0,0,0,7005856181.79671,3795934.4124369
342,S12000036,City of Edinburgh,Scotland,Heavy goods vehicles,5,0,5,5,0,5,263395003.679382,110355.561123041
343,S12000038,Renfrewshire,Scotland,Heavy goods vehicles,0,0,0,0,0,0,261490836.761856,131745.446686221
344,S12000039,West Dunbartonshire,Scotland,Heavy goods vehicles,0,0,0,0,0,0,177319583.18425,103710.998122334
345,S12000040,West Lothian,Scotland,Heavy goods vehicles,0,0,0,0,0,0,428769481.686554,134930.310291464
346,S12000041,Angus,Scotland,Heavy goods vehicles,0,0,0,0,0,0,2184982978.68718,328940.561902964
347,S12000042,Dundee City,Scotland,Heavy goods vehicles,9,0,9,9,0,9,59800679.97612,47831.2069158876
348,S12000045,East Dunbartonshire,Scotland,Heavy goods vehicles,0,0,0,0,0,0,174489033.610092,99592.6325879833
349,S12000047,Fife,Scotland,Heavy goods vehicles,0,0,0,0,0,0,1325190262.60379,358324.912814313
350,S12000048,Perth and Kinross,Scotland,Heavy goods vehicles,0,0,0,0,0,0,5383770929.93335,633248.172986055
351,S12000049,Glasgow City,Scotland,Heavy goods vehicles,6,0,6,6,0,6,174622045.629852,135573.393985495
352,S12000050,North Lanarkshire,Scotland,Heavy goods vehicles,3,0,3,3,0,3,472298223.955948,163983.319889321
353,W06000001,Isle of Anglesey,Wales,Heavy goods vehicles,0,0,0,0,0,0,715212551.920387,378960.671414204
354,W06000002,Gwynedd,Wales,Heavy goods vehicles,0,0,0,0,0,0,2548292895.11299,643030.305858802
355,W06000003,Conwy,Wales,Heavy goods vehicles,0,0,0,0,0,0,1130179030.87906,283263.119395945
356,W06000004,Denbighshire,Wales,Heavy goods vehicles,2,0,2,2,0,2,838716213.358932,228749.239059247
357,W06000005,Flintshire,Wales,Heavy goods vehicles,2,0,2,2,0,2,439830286.385391,239003.212626092
358,W06000006,Wrexham,Wales,Heavy goods vehicles,1,0,1,1,0,1,503773535.230103,190023.448114477
359,W06000008,Ceredigion,Wales,Heavy goods vehicles,0,0,0,0,0,0,1788379261.89556,382131.522913247
360,W06000009,Pembrokeshire,Wales,Heavy goods vehicles,0,0,0,0,0,0,1618344480.35981,743250.249529533
361,W06000010,Carmarthenshire,Wales,Heavy goods vehicles,3,0,3,3,0,3,2371104028.24967,591756.508359416
362,W06000011,Swansea,Wales,Heavy goods vehicles,1,0,1,1,0,1,377614544.98658,270825.582117602
363,W06000012,Neath Port Talbot,Wales,Heavy goods vehicles,1,0,1,1,0,1,442272629.118,182182.731934738
364,W06000013,Bridgend,Wales,Heavy goods vehicles,0,0,0,0,0,0,250785314.083366,93180.2520200993
365,W06000014,Vale of Glamorgan,Wales,Heavy goods vehicles,2,0,2,2,0,2,331261382.621326,108400.387481918
366,W06000015,Cardiff,Wales,Heavy goods vehicles,14,0,14,14,0,14,142303613.187145,79616.4688690008
367,W06000016,Rhondda Cynon Taf,Wales,Heavy goods vehicles,0,0,0,0,0,0,424150476.006226,130225.273793906
368,W06000018,Caerphilly,Wales,Heavy goods vehicles,0,0,0,0,0,0,277387807.112293,116195.727849562
369,W06000019,Blaenau Gwent,Wales,Heavy goods vehicles,1,0,1,1,0,1,108728046.067421,65601.5677696128
370,W06000020,Torfaen,Wales,Heavy goods vehicles,2,0,2,2,0,2,126239929.82222,82540.0392973317
371,W06000021,Monmouthshire,Wales,Heavy goods vehicles,0,0,0,0,0,0,850327720.788227,224909.141029611
372,W06000022,Newport,Wales,Heavy goods vehicles,6,0,6,6,0,6,190431147.336025,153213.179655943
373,W06000023,Powys,Wales,Heavy goods vehicles,1,0,1,1,0,1,5195311063.63076,610076.853820174
374,W06000024,Merthyr Tydfil,Wales,Heavy goods vehicles,0,0,0,0,0,0,111956970.938263,66689.0810594782
