Color by,Project Name,State Name,Type Name,Company,Country Name,DOE Support,If State,Location,Other,Plant,Project Date,Project ID,Project Link,Project Name,Status Detail Name,Status Name,Technology Name,Unit Base Name 1,Avg. Icon Size,Latitude,Longitude,Distinct count of Project ID,Major Injection Amount
Potential,Carbonsafe Rocky Mountain Phase I: Ensuring Safe Subsurface Storage of Carbon Dioxide in the Intermountain West,Utah,Capture & Storage,University of Utah,United States,DOE Supported,", Utah",Castle Dale,Identify the conditions and attributes that will facilitate feasible and practical commercial-scale carbon capture and storage.,,3/1/2017,370,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029280,Carbonsafe Rocky Mountain Phase I: Ensuring Safe Subsurface Storage of Carbon Dioxide in the Intermountain West,Planning,Potential,,,1,39.107347,-110.867393,1,
Potential,CAB-CS: Central Appalachian Basin CarbonSAFE Integrated Pre-Feasibility Project,Ohio,Capture & Storage,Battelle Memorial Institute,United States,Other Support,", Ohio",central Appalachian Basin,This project will will perform pre-feasibility studies for an integrated commercial-scale carbon capture and storage (CCS) site that will utilize deep geologic strata in the Central Appalachian Basin.,,2/1/2017,359,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029466,CAB-CS: Central Appalachian Basin CarbonSAFE Integrated Pre-Feasibility Project,Planning,Potential,,,1,40.271999,-81.859679,1,
Potential,Shenhua Ningxia CTL Project,Ningxia Hui Autonomous Region,Capture,Shenhua Group Corporation,China,Other Support,", Ningxia Hui Autonomous Region",Yinchuan,Coal gasification (using Seimen's IGCC to syngas process) to produce hydrocabon liquids/gases and to capture 2 million tonnes per annum (Mtpa) CO2 using physical solvent-based absorption process. CO2 capture date to start 2020.,Shenhua Ningxia Coal to Liquids,1/1/2020,350,https://www.netl.doe.gov/publications/proceedings/08/CO2E/PDF/session%201/2008.5.Hangzhou%20CO2%20forum-EN.pdf,Shenhua Ningxia CTL Project,Planning,Potential,Solvents,,1,38.5318,106.249,1,
Potential,Shanxi International Energy Oxyfuel Project,Shaanxi Province,Capture,"Shanxi International Energy Group Company, Ltd (SIEG)",China,Other Support,", Shaanxi Province",Taiyuan,Air Products perfromed the feasibility and cost study in 2014. No further info regarding the project.,SIEG Power Plant in Taiyuan,1/1/2020,342,http://www.globalccsinstitute.com/project/shanxi-international-energy-group-ccus-project,Shanxi International Energy Oxyfuel Project,Planning,Potential,Oxy-fuel Combustion,Tonnes per Day,1,37.778832,112.474995,1,"6,850"
Potential,Hodonin CO2 Separation Project,South Moravian Region,Capture,CEZ Group,Czech Republic,Other Support,", South Moravian Region",Hodonin,"CEZ is considering two localities for modern low-emission lignite-biomass technologies, Hodonin and North Bohemia.",Hodonin Power Plant,1/15/2015,333,http://www.cez.hu/en/news/764.html,Hodonin CO2 Separation Project,Planning,Potential,,,1,48.848936,17.132222,1,
Hold,HARP-Heartland Area Redwater Project,Alberta,Storage,ARC Resources,Canada,Other Support,", Alberta",between Fort McMurray and Edmonton,"The Heartland Area Redwater Project, located in the Heartland Region of Alberta (Canada), aims to demonstrate the feasibility of CO2 storage in onshore carbonate rocks in North America (the Redwater Leduc Reef). Effort on hold pending CO2 legislation.",Multiple source possibilities,1/1/2008,232,http://www.zeroco2.no/projects/heartland-area-redwater-storage-project-harp,HARP-Heartland Area Redwater Project,Site Characterization,Hold,,Tonnes Total,1,53.945484,-113.067108,1,"100,000"
Hold,Altmark Sequestration,Saxony-Anhalt,Storage,Vattenfall,Germany,Other Support,", Saxony-Anhalt",Salzwedel,"The project is an EGR project to be performed in Europe's second-largest natural gas field - the Altmark gas field. The program plans to control old wells, along with advancement of monitoring techniques, process modelling, and risk assessment.",Vattenfall's CO2 Test Facility,1/1/2015,53,https://publications.lbl.gov/islandora/object/ir%3A127000,Altmark Sequestration,Developing Infrastructure,Hold,,Tonnes Total,1,52.83368,11.154315,1,"100,000"
Hold,ULCOS Florange,Lorraine,Capture & Storage,ArcelorMittal,France,Other Support,", Lorraine",Florange,"Project was to store over 700,000 tonnes/year and is considered cancelled. The overall effort was to reduce current CO2 emissions from steel making by 50%.",Steel Plant,1/1/2004,247,https://sequestration.mit.edu/tools/projects/ulcos.html,ULCOS Florange,Developing Infrastructure,Hold,Solid sorbent,Tonnes per Day,1,49.323907,6.091537,1,"1,370"
Hold,Sinopec Qilu Petrochemical CCS Project,Shandong Province,Capture & Storage,Qilu Petrochemical Company (subsidiary of Sinopec),China,Other Support,", Shandong Province",Zibo,"Three GE gasifiers supply syngas to fertilzer mfg. The next project would capture and compress CO2 for EOR use, after transportation of 47 miles.",Sinopec Qilu Petrochemical CCS Project,12/1/2017,351,http://www.globalccsinstitute.com/projects/sinopec-qilu-petrochemical-ccs-project,Sinopec Qilu Petrochemical CCS Project,Engineering design,Hold,Cold Methanol (Rectisol),Tonnes per Day,1,37.4142,118.607,1,"1,370"
Hold,Sargas Husnes Norwegian Clean Coal Plant Project,Møre og Ramsdal,Capture & Storage,Sargas,Norway,Other Support,", Møre og Ramsdal",Husnes, The plant has been on hold since 2008. Was to capture about 2.6 million tonnes of CO2/yr for EOR in North Sea oil fields.,400-MW coal-fired Power Plant,1/1/2011,77,https://sequestration.mit.edu/tools/projects/sargas_husnes.html,Sargas Husnes Norwegian Clean Coal Plant Project,Planning,Hold,,Tonnes per Day,1,59.85858,5.740327,1,"7,124"
Hold,RWE IGCC Plant with CO2 Storage,North Rhine - Westphalia,Capture & Storage,RWE Power,Germany,Other Support,", North Rhine - Westphalia",Hürth (Huerth),"The project will be a large scale coal fired power plant that combines coal gasification (IGCC), CO2 separation, and CO2 storage in a saline aquifer. CO2 will be delivered to the storage site through a 540 km pipeline.",RWE Power IGCC Plant,1/1/2014,55,http://www.rwe.com/web/cms/en/2688/rwe/innovations/power-generation/clean-coal/igcc-ccs-power-plant/,RWE IGCC Plant with CO2 Storage,Permitting,Hold,,Tonnes per Day,1,50.863656,6.838015,1,"7,124"
Hold,Porto Tolle,Rovigo Province,Capture & Storage,Enel,Italy,DOE Supported,", Rovigo Province",Rovigo,"Due to permitting and legislation issues, the final investment decision has been delayed until 2016.",Coal/Biomass Power Plant,12/31/2012,248,https://sequestration.mit.edu/tools/projects/enel_porto_tolle.html,Porto Tolle,Permitting,Hold,Solvents,Tonnes per Day,1,44.955975,12.488261,1,"2,740"
Hold,PCOR Development Phase - Ft. Nelson Project,British Columbia,Capture & Storage,Energy & Environmental Research Center - University of North Dakota,Canada,DOE Supported,", British Columbia",Ft. Nelson,The Fort Nelson project will utilize more than one million tons of CO2 per year captured from one of the largest gas processing plants in North America.  The CO2 will be compressed and transported in pipeline to the injeciton site.,Ft. Nelson Plant,1/1/2007,133,https://www.undeerc.org/pcor/co2sequestrationprojects/FortNelson.aspx,PCOR Development Phase - Ft. Nelson Project,Planning,Hold,Amines,Tonnes per Day,1,58.653455,-122.689083,1,"5,480"
Hold,Nuon Magnum IGCC Plant with Capture Option,Gronigen,Capture & Storage,Nuon,Netherlands,DOE Supported,", Gronigen",Esemshaven," In 2011 Nuon said it was postponing coal gasification technology, to at least 2020.",Nuon Magnum,1/1/2012,70,http://cleancoal.polsl.pl/pdf/Berkhout.pdf,Nuon Magnum IGCC Plant with Capture Option,Developing Infrastructure,Hold,Solvents,,1,53.447939,6.853228,1,
Hold,Moomba Cooper Basin Carbon Storage Project,South Australia state,Capture & Storage,Santos,Australia,Other Support,", South Australia state",Cooper Basin,Moomba Carbon Storage (MCS) project is planning to store CO2 (20 million tonnes per year for over fifty years) in the Cooper Basin in central Australia that includes EOR.,Santos Moomba Facility,1/1/2010,14,https://www.santos.com/media-centre/announcements/moomba-carbon-storage-demonstration-project/,Moomba Cooper Basin Carbon Storage Project,Site Characterization,Hold,,Tonnes per Day,1,-28.113216,140.206906,1,"54,800"
