NationalGridBmUnit,carrier,bus,lon,lat,capacity
I2D-MFTE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-MQBN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-NEAS1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-NEHO1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-NITR1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-NORL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-NTPL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-NVAL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-OMPX1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-OPMX1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-OUTL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-PLAN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-PREP1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-PWMR1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-QUAR1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-QUEN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-RESP1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-RISQ1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-RWES1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-SETL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-SSEG1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-STAT1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-TGPL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-TRFD1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-TRFG1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-TRLS1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-VOLT1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-VSAL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-VTET1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-XNON1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-ALEU1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-ALIP1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-ARON1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-AXPO1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-BDEN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-BKWE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-BNPS1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-BPGM1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-CBST1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-CENT1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-CETL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-CEZC1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-CNGS1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-CNRE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-CONS1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-CONV1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-COPN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-DARE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-DMCC1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-DSKC1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-DUEN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-DUGE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-DVAL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-EDFT1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-EDMK1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-ELEE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-ELTR1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-ENKI1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-ENSC1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-ENSP1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-ENTC1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-EPCO1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-EZCO1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-GASE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-GAZP1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-GLEN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-GRMT1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-HART1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-HELI1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-IBES1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-INCM1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-MCRA1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-MFTE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-MQBN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-NEAS1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-NEHO1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-NITR1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-NORL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-NTPL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-NVAL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-OMPX1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-OPMX1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-OUTL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-PLAN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-PREP1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-PWMR1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-QUAR1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-QUEN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2G-RESP1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
