LineID,bus0,bus1,voltage,s_nom,r,x,b,length,under_construction
504,way/97551523-400,way/111550033-400,400,3574.953,0.029857,0.244827,1.73e-05,1990.46,f
505,way/25935453-400,way/77065229-400,400,3574.953,0.646496,5.301266,0.00037371,43099.72,f
506,way/92340133-400,way/89453364-400,400,3574.953,0.241746,1.982315,0.00013974,16116.38,f
507,GB68-275,relation/13186702-275,275,1843.335,0.166011,1.09982,6.88e-05,8300.53,f
508,way/884174267-275,relation/13186702-275,275,1843.335,0.118326,0.783907,4.91e-05,5916.28,f
509,way/422486984-275,way/166703759-275,275,1843.335,0.640218,4.241443,0.00026549,32010.89,f
510,way/23299362-400,way/23299657-400,400,3574.953,0.149318,1.22441,8.63e-05,9954.55,f
511,way/1275300370-400,way/103150854-400,400,3574.953,0.06261,0.513406,3.62e-05,4174.03,f
512,way/31015820-400,way/447301159-400,400,3574.953,0.096015,0.787325,5.55e-05,6401.02,f
513,way/371757485-400,way/23228362-400,400,1787.476,0.17784,1.458288,2.57e-05,5928.0,f
514,way/88287125-400,relation/7650368-400,400,3574.953,0.60281,4.94304,0.00034846,40187.32,f
515,way/87204522-400,GB53-400,400,3574.953,0.193106,1.583471,0.00011163,12873.75,f
516,GB60-275,way/28194931-275,275,1843.335,0.241837,1.602173,0.00010029,12091.87,f
517,way/16582436-400,GB78-400,400,3574.953,0.35869,2.941255,0.00020734,23912.64,f
518,GB42-275,way/159736514-275,275,1843.335,0.265522,1.759085,0.00011011,13276.11,f
519,way/433545528-220,way/635713005-220,220,491.556,1.292195,6.482511,8.46e-05,21536.58,f
520,GB27-400,way/97256377-400,400,3574.953,0.332287,2.724751,0.00019208,22152.45,f
521,way/23059268-275,way/796648851-275,275,921.668,0.156472,1.036627,1.62e-05,3911.8,f
522,way/92260633-275,way/55284068-275,275,1843.335,0.373432,2.473986,0.00015486,18671.59,f
523,way/91003253-400,way/472164401-400,400,3574.953,0.287334,2.356141,0.00016609,19155.62,f
524,way/87953830-400,relation/10695345-400,400,3574.953,0.313858,2.573636,0.00018143,20923.87,f
525,way/68515955-275,way/820229174-275,275,1843.335,0.351583,2.329235,0.0001458,17579.13,f
526,way/111528318-275,way/1252341626-275,275,1843.335,0.334902,2.218728,0.00013888,16745.12,f
