Latitude,Longitude,ID,PowerKW,Title (AddressInfo.Country),Title (Connections.ConnectionType),Title (OperatorInfo)
58.67815,13.81735,87798,50,Sweden,Unknown,
58.04094,12.80095,87793,50,Sweden,Unknown,
58.03497,14.97763,87792,50,Sweden,Unknown,
57.92562,12.52933,87791,50,Sweden,Unknown,
57.41562,15.09063,87772,50,Sweden,Unknown,
55.56011,13.91331,87764,50,Sweden,Unknown,
62.48189,6.81758,85348,50,Norway,Unknown,
61.90259,6.71432,85346,50,Norway,Unknown,
59.63752,17.07791,85337,50,Sweden,Unknown,
59.60059,15.19482,85334,50,Sweden,Unknown,
63.20728,9.00501,83956,50,Norway,Unknown,
62.80486,22.878,83950,50,Finland,Unknown,
62.62333,7.09433,83949,50,Norway,Unknown,
62.59361,9.6936,83948,50,Norway,Unknown,
62.33353,5.64093,83946,50,Norway,Unknown,
61.32149,5.77771,83942,50,Norway,Unknown,
61.12641,8.57948,83941,50,Norway,Unknown,
61.10639,10.44391,83940,50,Norway,Unknown,
60.38104,9.61052,83931,50,Norway,Unknown,
59.92205,10.67504,83928,50,Norway,Unknown,
59.77432,5.48679,83927,50,Norway,Unknown,
59.76411,10.85117,83926,50,Norway,Unknown,
59.57186,11.33143,83923,50,Norway,Unknown,
68.19395,16.02964,75944,50,Norway,Unknown,
62.56601,10.32235,75940,50,Norway,Unknown,
61.59216,9.72421,75939,50,Norway,Unknown,
61.06462,7.50936,75938,50,Norway,Unknown,
60.82224,9.55425,75936,50,Norway,Unknown,
60.00474,11.03136,75930,50,Norway,Unknown,
59.42224,10.36536,75927,50,Norway,Unknown,
58.62977,6.08121,75925,50,Norway,Unknown,
58.46089,6.53882,75924,50,Norway,Unknown,
55.59687,12.98917,75922,50,Sweden,Unknown,
69.67863,18.90532,74773,50,Norway,Unknown,
69.2176,19.55689,74771,50,Norway,Unknown,
68.55089,17.55256,74770,50,Norway,Unknown,
68.14869,13.61271,74769,50,Norway,Unknown,
65.19391,25.41201,74765,50,Finland,Unknown,
63.04915,10.28375,74756,50,Norway,Unknown,
62.44933,13.86349,74754,50,Sweden,Unknown,
62.17661,27.84018,74753,50,Finland,Unknown,
62.11101,10.62728,74752,50,Norway,Unknown,
61.83494,10.88532,74751,50,Norway,Unknown,
61.58826,10.99561,74749,50,Norway,Unknown,
61.08002,7.84751,74747,50,Norway,Unknown,
60.89421,11.58147,74745,50,Norway,Unknown,
60.87424,11.57648,74743,50,Norway,Unknown,
60.48801,9.19227,74740,50,Norway,Unknown,
60.27194,10.18419,74736,50,Norway,Unknown,
60.25351,11.1834,74735,50,Norway,Unknown,
60.135,15.40458,74733,50,Sweden,Unknown,
60.08335,10.28741,74731,50,Norway,Unknown,
59.98473,10.92818,74729,50,Norway,Unknown,
59.91143,10.82148,74723,50,Norway,Unknown,
59.83466,10.44098,74721,50,Norway,Unknown,
59.75405,10.13871,74720,50,Norway,Unknown,
59.49856,5.90133,74716,50,Norway,Unknown,
59.41702,10.49183,74715,50,Norway,Unknown,
59.40136,9.96192,74713,50,Norway,Unknown,
59.31006,18.08685,74710,50,Sweden,Unknown,
59.06361,5.67759,74700,50,Norway,Unknown,
59.05504,16.58712,74699,50,Sweden,Unknown,
59.05129,10.02109,74698,50,Norway,Unknown,
58.74974,16.98641,74696,50,Sweden,Unknown,
58.45391,8.74532,74694,50,Norway,Unknown,
58.02773,7.47524,74690,50,Norway,Unknown,
57.96185,12.12678,74689,50,Sweden,Unknown,
57.78036,14.22672,74683,50,Sweden,Unknown,
57.65992,11.9334,74679,50,Sweden,Unknown,
56.8314,13.93371,74665,50,Sweden,Unknown,
56.67046,16.33736,74663,50,Sweden,Unknown,
67.28181,14.54913,71672,50,Norway,Unknown,
65.86314,13.19615,71670,50,Norway,Unknown,
63.81121,20.32767,71668,50,Sweden,Unknown,
61.05254,28.26243,71661,50,Finland,Unknown,
60.87929,6.84296,71659,50,Norway,Unknown,
60.65716,6.43644,71657,50,Norway,Unknown,
60.17902,11.08186,71652,50,Norway,Unknown,
60.09878,24.29431,71651,50,Finland,Unknown,
59.91914,16.61225,71646,50,Sweden,Unknown,
62.34087,5.63692,70350,50,Norway,Unknown,
62.04511,17.26182,68972,50,Sweden,Unknown,
59.65809,17.07717,68957,50,Sweden,Unknown,
59.41844,17.85751,68956,50,Sweden,Unknown,
58.41787,15.65675,68952,50,Sweden,Unknown,
58.32311,15.08871,68951,50,Sweden,Unknown,
57.72273,12.02292,68946,50,Sweden,Unknown,
57.72156,11.95096,68945,50,Sweden,Unknown,
57.70937,11.92142,68944,50,Sweden,Unknown,
57.69081,11.91292,68943,50,Sweden,Unknown,
57.6907,11.95114,68942,50,Sweden,Unknown,
57.67715,12.02691,68941,50,Sweden,Unknown,
56.67318,16.32038,68936,50,Sweden,Unknown,
62.2477,25.76433,67623,50,Finland,Unknown,
57.16302,14.07345,67615,50,Sweden,Unknown,
55.59932,13.0237,67613,50,Sweden,Unknown,
61.74256,17.07785,64980,50,Sweden,Unknown,
61.30073,17.03835,64979,50,Sweden,Unknown,
60.79298,6.50931,64977,50,Norway,Unknown,
59.37905,5.30515,64967,50,Norway,Unknown,
59.36147,18.05785,64965,50,Sweden,Unknown,
59.32819,17.01812,64963,50,Sweden,Unknown,
59.31707,13.09978,64962,50,Sweden,Unknown,
58.73006,16.41057,64960,50,Sweden,Unknown,
58.72077,11.35182,64959,50,Sweden,Unknown,
58.0529,14.50511,64955,50,Sweden,Unknown,
57.74793,11.99451,64953,50,Sweden,Unknown,
56.81336,13.90597,64951,50,Sweden,Unknown,
55.43832,13.79111,64944,50,Sweden,Unknown,
59.98428,15.80654,61397,50,Sweden,Unknown,
59.73535,7.55287,61389,50,Norway,Unknown,
59.64917,6.35821,61386,50,Norway,Unknown,
59.48409,8.62861,61384,50,Norway,Unknown,
59.121904,11.383886,61380,50,Norway,Unknown,
59.1393,9.65446,61379,50,Norway,Unknown,
58.81867,5.71905,61377,50,Norway,Unknown,
59.76205,18.69792,60205,50,Sweden,Unknown,
63.85168,20.30043,57852,50,Sweden,Unknown,
60.74095,15.90477,57845,50,Sweden,Unknown,
60.73445,15.43854,57844,50,Sweden,Unknown,
60.20696,24.75389,57839,50,Finland,Unknown,
59.14914,9.66312,57830,50,Norway,Unknown,
59.08843,9.06576,57829,50,Norway,Unknown,
58.34186,8.56957,57824,50,Norway,Unknown,
65.59073,22.14772,56723,50,Sweden,Unknown,
59.61468,16.57641,56698,50,Sweden,Unknown,
