UnitID,name,type,Bus name,x,y,capacity,Technology,Cost
229,I2G-NORL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
230,I2G-NTPL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
231,I2G-NVAL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
232,I2G-OMPX1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
233,I2G-OPMX1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
234,I2G-OUTL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
235,I2G-PLAN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
236,I2G-PREP1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
237,I2G-PWMR1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
238,I2G-QUAR1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
239,I2G-QUEN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
240,I2G-RESP1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
241,I2G-RISQ1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
242,I2G-RWES1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
243,I2G-SETL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
244,I2G-SSEG1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
245,I2G-STAT1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
246,I2G-TGPL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
247,I2G-TRFD1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
248,I2G-TRFG1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
249,I2G-TRLS1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
250,I2G-VOLT1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
251,I2G-VSAL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
252,I2G-VTET1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
253,I2G-XNON1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
254,IBD-DARE1,interconnector,way/814351697-400,0.653,51.46,0,,0
255,IBG-ALIP1,interconnector,way/814351697-400,0.653,51.46,0,,0
256,IBG-ALPE1,interconnector,way/814351697-400,0.653,51.46,0,,0
257,IBG-BDEN1,interconnector,way/814351697-400,0.653,51.46,0,,0
258,IBG-BKWE1,interconnector,way/814351697-400,0.653,51.46,0,,0
259,IBG-BPGE1,interconnector,way/814351697-400,0.653,51.46,0,,0
260,IBG-BRTN1,interconnector,way/814351697-400,0.653,51.46,0,,0
261,IBG-CACM1,interconnector,way/814351697-400,0.653,51.46,0,,0
262,IBG-CBST1,interconnector,way/814351697-400,0.653,51.46,0,,0
263,IBG-CENT1,interconnector,way/814351697-400,0.653,51.46,0,,0
264,IBG-CETA1,interconnector,way/814351697-400,0.653,51.46,0,,0
265,IBG-CEZC1,interconnector,way/814351697-400,0.653,51.46,0,,0
266,IBG-CGML1,interconnector,way/814351697-400,0.653,51.46,0,,0
267,IBG-CNGS1,interconnector,way/814351697-400,0.653,51.46,0,,0
268,IBG-CONS1,interconnector,way/814351697-400,0.653,51.46,0,,0
269,IBG-CONV1,interconnector,way/814351697-400,0.653,51.46,0,,0
