Bus name,bus_capacity,percentage
way/576238223-400,23.0,0.04414231482298931
way/1297690788-275,22.5,0.04318269928335911
way/1185489725-400,22.0,0.04222308374372891
way/166703759-275,21.0,0.0403038526644685
way/133323988-275,20.0,0.0383846215852081
way/29111844-400,20.0,0.0383846215852081
way/89453364-400,20.0,0.0383846215852081
way/90547685-275,19.8,0.03800077536935602
way/32796576-400,18.0,0.03454615942668729
way/55284068-275,18.0,0.03454615942668729
way/292371992-275,18.0,0.03454615942668729
way/26938722-400,18.0,0.03454615942668729
way/109730296-400,17.0,0.03262692834742688
way/90547674-400,15.0,0.028788466188906073
GB36-400,15.0,0.028788466188906073
way/92260633-275,15.0,0.028788466188906073
way/92340133-400,15.0,0.028788466188906073
way/730870685-275,15.0,0.028788466188906073
GB6-220,15.0,0.028788466188906073
way/23281217-400,15.0,0.028788466188906073
relation/7886014-400,14.0,0.026869235109645673
way/339008021-275,13.8,0.02648538889379359
way/143388743-275,13.8,0.02648538889379359
way/28691559-400,12.5,0.02399038849075506
way/92331023-275,12.5,0.02399038849075506
way/71118225-400,12.3,0.023606542274902984
way/1078532568-400,12.0,0.02303077295112486
way/1049638569-400,12.0,0.02303077295112486
GB57-400,12.0,0.02303077295112486
way/88389243-400,12.0,0.02303077295112486
way/23164256-400,12.0,0.02303077295112486
GB73-400,12.0,0.02303077295112486
way/96107758-275,11.5,0.022071157411494655
way/23299362-275,11.0,0.021111541871864457
GB23-275,10.3,0.01976808011638217
way/25422135-220,10.3,0.01976808011638217
way/209404646-400,10.0,0.01919231079260405
relation/10695345-400,10.0,0.01919231079260405
GB17-275,10.0,0.01919231079260405
way/1097582201-400,10.0,0.01919231079260405
way/103915328-275,10.0,0.01919231079260405
way/1307462736-275,7.5,0.014394233094453037
