Bus name,bus_capacity,percentage
way/1274396508-400,2.0,0.0047865211564235115
way/167621580-400,2.0,0.0047865211564235115
way/227767022-275,2.0,0.0047865211564235115
way/820237569-400,1.8,0.00430786904078116
way/23228569-275,1.8,0.00430786904078116
way/142841192-275,1.6,0.003829216925138809
relation/7896785-275,1.6,0.003829216925138809
way/222205173-275,1.4,0.0033505648094964576
way/76468460-275,1.3,0.003111238751675283
way/135693940-275,1.3,0.003111238751675283
way/103150854-400,1.3,0.003111238751675283
way/308724719-275,1.3,0.003111238751675283
way/93878867-275,1.2,0.0028719126938541065
way/115887437-275,1.1,0.0026325866360329313
way/262532045-400,1.1,0.0026325866360329313
way/143221984-275,1.0,0.0023932605782117557
way/232319495-275,1.0,0.0023932605782117557
way/167621580-275,1.0,0.0023932605782117557
way/31545125-400,1.0,0.0023932605782117557
way/89573357-275,1.0,0.0023932605782117557
way/30930911-275,1.0,0.0023932605782117557
way/23164132-400,1.0,0.0023932605782117557
