BusID,bus_name,voltage,x,y,RegionName,color,geometry,index_right,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE
101,relation/7886014-400,400.0,-2.512553304,52.63226162,Ironbridge,green,POINT (-2.512553304 52.63226162),1477.0,UKG22,3.0,UK,Shropshire CC,Shropshire CC,4.0,2.0,3.0
102,relation/7894457-275,275.0,-2.405438557,53.43519161,Carrington,red,POINT (-2.405438557 53.43519161),1148.0,UKD34,3.0,UK,Greater Manchester South West,Greater Manchester South West,4.0,1.0,2.0
103,relation/7894457-400,400.0,-2.405178454,53.43541149,Carrington,red,POINT (-2.405178454 53.43541149),1148.0,UKD34,3.0,UK,Greater Manchester South West,Greater Manchester South West,4.0,1.0,2.0
104,relation/7894483-400,400.0,-2.321915579,53.79518999,Padiham,green,POINT (-2.321915579 53.79518999),1394.0,UKD46,3.0,UK,East Lancashire,East Lancashire,4.0,1.0,2.0
105,relation/7894974-275,275.0,-4.080110628,55.75168992,Strathaven,green,POINT (-4.080110628 55.75168992),1441.0,UKM95,3.0,UK,South Lanarkshire,South Lanarkshire,4.0,1.0,2.0
106,relation/7894974-400,400.0,-4.079846271,55.75191343,Strathaven,green,POINT (-4.079846271 55.75191343),1441.0,UKM95,3.0,UK,South Lanarkshire,South Lanarkshire,4.0,1.0,2.0
107,relation/7894975-275,275.0,-2.756647537,53.74381896,Penwortham,red,POINT (-2.756647537 53.74381896),1383.0,UKD45,3.0,UK,Mid Lancashire,Mid Lancashire,4.0,1.0,1.0
108,relation/7894975-400,400.0,-2.756387537,53.74403959,Penwortham,green,POINT (-2.756387537 53.74403959),1383.0,UKD45,3.0,UK,Mid Lancashire,Mid Lancashire,4.0,1.0,1.0
109,relation/7896785-275,275.0,-1.85311523,52.50680233,Nechells,green,POINT (-1.85311523 52.50680233),1390.0,UKG31,3.0,UK,Birmingham,Birmingham,4.0,1.0,3.0
110,relation/8087295-275,275.0,-3.753619779,58.57578626,Dounreay,green,POINT (-3.753619779 58.57578626),1273.0,UKM61,3.0,UK,Caithness & Sutherland and Ross & Cromarty,Caithness & Sutherland and Ross & Cromarty,2.0,3.0,1.0
111,relation/9409219-400,400.0,-1.328737782,50.82162304,Fawley,green,POINT (-1.328737782 50.82162304),1496.0,UKJ36,3.0,UK,Central Hampshire,Central Hampshire,4.0,1.0,1.0
