id,tech,capacity_mw,abs_year,stage,discount_factor,discounted_pre_dev_per_mw,discounted_construction_per_mw,discounted_fixed_om_per_mw,discounted_variable_om_per_mw,discounted_total_cost_per_mw,discounted_mwh_per_mw,discounted_pre_dev_total,discounted_construction_total,discounted_fixed_om_total,discounted_variable_om_total,discounted_total_cost,discounted_mwh_total,discounted_infra_lump_total
onwind_26684,onshore_wind,34.0,18,operation,0.40152878372998196,0.0,0.0,12326.933660510445,9022.110853142458,21349.0445136529,1503.6851421904096,0.0,0.0,419115.7444573551,306751.76900684356,725867.5134641987,51125.29483447393,0.0
onwind_26684,onshore_wind,34.0,19,operation,0.3816813533554962,0.0,0.0,11717.617548013734,8576.151001085987,20293.76854909972,1429.3585001809977,0.0,0.0,398398.99663246697,291589.1340369236,689988.1306693905,48598.18900615392,0.0
onwind_26684,onshore_wind,34.0,20,operation,0.3628149746725249,0.0,0.0,11138.419722446513,8152.234791906831,19290.654514353344,1358.7057986511384,0.0,0.0,378706.27056318143,277175.98292483226,655882.2534880138,46195.997154138706,0.0
onwind_26684,onshore_wind,34.0,21,operation,0.34488115463167757,0.0,0.0,10587.851447192501,7749.2726158810165,18337.12406307352,1291.5454359801693,0.0,0.0,359986.949204545,263475.2689399546,623462.2181444997,43912.544823325756,0.0
onwind_26684,onshore_wind,34.0,22,operation,0.3278337971784007,0.0,0.0,10064.497573376902,7366.2287223203575,17430.72629569726,1227.704787053393,0.0,0.0,342192.91749481467,250451.77655889216,592644.6940537068,41741.96275981536,0.0
onwind_26684,onshore_wind,34.0,23,operation,0.3116290847703429,0.0,0.0,9567.012902449527,7002.118557338743,16569.13145978827,1167.019759556457,0.0,0.0,325278.4386832839,238072.03094951727,563350.4696328011,39678.67182491954,0.0
onwind_26684,onshore_wind,34.0,24,operation,0.2962253657512765,0.0,0.0,9094.118728564188,6656.006233211732,15750.12496177592,1109.3343722019554,0.0,0.0,309200.0367711824,226304.2119291989,535504.2487003813,37717.368654866485,0.0
onwind_26684,onshore_wind,34.0,25,operation,0.28158304729208794,0.0,0.0,8644.5995518671,6327.0021228248415,14971.601674691941,1054.50035380414,0.0,0.0,293916.38476348144,215118.0721760446,509034.456939526,35853.01202934077,0.0
onwind_26684,onshore_wind,34.0,26,operation,0.26766449362365774,0.0,0.0,8217.299954246293,6014.260573027415,14231.560527273708,1002.3767621712359,0.0,0.0,279388.19844437396,204484.85948293214,483873.0579273061,34080.80991382202,0.0
onwind_26684,onshore_wind,34.0,27,operation,0.2544339293000549,0.0,0.0,7811.121629511685,5716.977731014654,13528.09936052634,952.8296218357755,0.0,0.0,265578.13540339726,194377.24285449824,459955.3782578955,32396.207142416366,0.0
onwind_26684,onshore_wind,34.0,28,operation,0.24185734724339814,0.0,0.0,7425.0205603723225,5434.389478150811,12859.410038523132,905.7315796918017,0.0,0.0,252450.69905265898,184769.24225712757,437219.9413097865,30794.873709521256,0.0
onwind_26684,onshore_wind,34.0,29,operation,0.22990242133402866,0.0,0.0,7058.0043349546795,5165.769465922824,12223.773800877503,860.9615776538039,0.0,0.0,239972.1473884591,175636.16184137602,415608.3092298351,29272.693640229336,0.0
onwind_26684,onshore_wind,34.0,30,operation,0.21853842332131998,0.0,0.0,6709.129595964523,4910.427248976068,11619.556844940591,818.4045414960112,0.0,0.0,228110.40626279378,166954.5264651863,395064.9327279801,27825.75441086438,0.0
onwind_26688,onshore_wind,15.0,0,pre_dev,1.0,32500.0,0.0,0.0,0.0,32500.0,0.0,487500.0,0.0,0.0,0.0,487500.0,0.0,0.0
onwind_26688,onshore_wind,15.0,1,pre_dev,0.9505703422053231,30893.536121673,0.0,0.0,0.0,30893.536121673,0.0,463403.041825095,0.0,0.0,0.0,463403.041825095,0.0,0.0
onwind_26688,onshore_wind,15.0,2,pre_dev,0.9035839754803451,29366.479203111216,0.0,0.0,0.0,29366.479203111216,0.0,440497.18804666825,0.0,0.0,0.0,440497.18804666825,0.0,0.0
onwind_26688,onshore_wind,15.0,3,pre_dev,0.858920128783598,27914.904185466934,0.0,0.0,0.0,27914.904185466934,0.0,418723.562782004,0.0,0.0,0.0,418723.562782004,0.0,0.0
onwind_26688,onshore_wind,15.0,4,construction,0.816464000744865,0.0,449055.2004096758,0.0,0.0,449055.2004096758,0.0,0.0,6735828.006145136,0.0,0.0,6735828.006145136,0.0,1551281.6014152435
onwind_26688,onshore_wind,15.0,5,construction,0.7761064645863736,0.0,426858.5555225055,0.0,0.0,426858.5555225055,0.0,0.0,6402878.332837583,0.0,0.0,6402878.332837583,0.0,1474602.2827141099
onwind_26688,onshore_wind,15.0,6,operation,0.7377437876296327,0.0,0.0,22648.734280229724,16576.660261765268,39225.39454199499,2762.7767102942116,0.0,0.0,339731.01420344587,248649.90392647902,588380.9181299248,41441.65065441318,0.0
onwind_26688,onshore_wind,15.0,7,operation,0.7012773646669512,0.0,0.0,21529.215095275402,15757.281617647595,37286.496712923,2626.213602941266,0.0,0.0,322938.226429131,236359.22426471394,559297.4506938449,39393.20404411899,0.0
onwind_26688,onshore_wind,15.0,8,operation,0.666613464512311,0.0,0.0,20465.033360527945,14978.40457951292,35443.437940040865,2496.4007632521534,0.0,0.0,306975.5004079192,224676.0686926938,531651.569100613,37446.0114487823,0.0
onwind_26688,onshore_wind,15.0,9,operation,0.6336629890801434,0.0,0.0,19453.4537647604,14238.027166837375,33691.480931597776,2373.004527806229,0.0,0.0,291801.806471406,213570.40750256064,505372.21397396666,35595.06791709343,0.0
onwind_26688,onshore_wind,15.0,10,operation,0.6023412443727599,0.0,0.0,18491.87620224373,13534.246356309293,32026.122558553023,2255.707726051549,0.0,0.0,277378.14303365594,203013.6953446394,480391.83837829536,33835.61589077323,0.0
onwind_26688,onshore_wind,15.0,11,operation,0.5725677227877946,0.0,0.0,17577.82908958529,12865.253190408072,30443.082279993363,2144.208865068012,0.0,0.0,263667.4363437794,192978.79785612106,456646.2341999005,32163.13297602018,0.0
onwind_26688,onshore_wind,15.0,12,operation,0.5442658961861164,0.0,0.0,16708.963012913773,12229.328127764325,28938.2911406781,2038.2213546273874,0.0,0.0,250634.4451937066,183439.92191646487,434074.3671101715,30573.32031941081,0.0
onwind_26688,onshore_wind,15.0,13,operation,0.5173630191883236,0.0,0.0,15883.044689081535,11624.83662335012,27507.881312431655,1937.4727705583532,0.0,0.0,238245.67033622303,174372.5493502518,412618.2196864748,29062.091558375298,0.0
onwind_26688,onshore_wind,15.0,14,operation,0.49178994219422395,0.0,0.0,15097.951225362674,11050.224927138896,26148.176152501568,1841.7041545231493,0.0,0.0,226469.26838044013,165753.37390708344,392222.64228752354,27625.56231784724,0.0
onwind_26688,onshore_wind,15.0,15,operation,0.46748093364469956,0.0,0.0,14351.664662892277,10504.016090436213,24855.68075332849,1750.6693484060354,0.0,0.0,215274.96994338415,157560.2413565432,372835.2112999273,26260.040226090532,0.0
onwind_26688,onshore_wind,15.0,16,operation,0.44437351106910605,0.0,0.0,13642.266789821555,9984.806169616173,23627.072959437726,1664.1343616026952,0.0,0.0,204634.00184732332,149772.0925442426,354406.0943915659,24962.01542404043,0.0
onwind_26688,onshore_wind,15.0,17,operation,0.422408280483941,0.0,0.0,12967.934210856989,9491.260617505865,22459.19482836285,1581.8767695843108,0.0,0.0,194519.01316285483,142368.90926258796,336887.9224254428,23728.15154376466,0.0
onwind_26688,onshore_wind,15.0,18,operation,0.40152878372998196,0.0,0.0,12326.933660510445,9022.110853142458,21349.0445136529,1503.6851421904096,0.0,0.0,184904.0049076567,135331.66279713687,320235.6677047935,22555.277132856143,0.0
onwind_26688,onshore_wind,15.0,19,operation,0.3816813533554962,0.0,0.0,11717.617548013734,8576.151001085987,20293.76854909972,1429.3585001809977,0.0,0.0,175764.263220206,128642.2650162898,304406.5282364958,21440.377502714964,0.0
onwind_26688,onshore_wind,15.0,20,operation,0.3628149746725249,0.0,0.0,11138.419722446513,8152.234791906831,19290.654514353344,1358.7057986511384,0.0,0.0,167076.2958366977,122283.52187860246,289359.81771530013,20380.586979767075,0.0
onwind_26688,onshore_wind,15.0,21,operation,0.34488115463167757,0.0,0.0,10587.851447192501,7749.2726158810165,18337.12406307352,1291.5454359801693,0.0,0.0,158817.77170788753,116239.08923821525,275056.86094610277,19373.18153970254,0.0
onwind_26688,onshore_wind,15.0,22,operation,0.3278337971784007,0.0,0.0,10064.497573376902,7366.2287223203575,17430.72629569726,1227.704787053393,0.0,0.0,150967.46360065354,110493.43083480536,261460.89443545887,18415.571805800893,0.0
onwind_26688,onshore_wind,15.0,23,operation,0.3116290847703429,0.0,0.0,9567.012902449527,7002.118557338743,16569.13145978827,1167.019759556457,0.0,0.0,143505.1935367429,105031.77836008114,248536.97189682405,17505.296393346856,0.0
onwind_26688,onshore_wind,15.0,24,operation,0.2962253657512765,0.0,0.0,9094.118728564188,6656.006233211732,15750.12496177592,1109.3343722019554,0.0,0.0,136411.78092846283,99840.09349817598,236251.8744266388,16640.01558302933,0.0
onwind_26688,onshore_wind,15.0,25,operation,0.28158304729208794,0.0,0.0,8644.5995518671,6327.0021228248415,14971.601674691941,1054.50035380414,0.0,0.0,129668.99327800651,94905.03184237263,224574.0251203791,15817.505307062102,0.0
