Project name,country,status,Product,latitude,longitude,capacity_MWel,Capacity_Nm?? H???/h,Capacity_kt H2/y
"Hyoffwind Zeebrugge, expansion",BEL,Concept,H2,51.32233179,3.208704673,75,16667,13
Hyoffwind Zeebrugge,BEL,FID/Construction,H2,51.32233179,3.208704673,25,5556,4.3
"""Waste-to-wheels"" Charleroi",BEL,Feasibility study,H2,50.47114536,4.458723543,,,
Green Fuels for Denmark - Phase 1,DNK,FID/Construction,H2,55.67598713,12.57032956,10,2222,1.7
Hystock (EnergyStock),NLD,Operational,H2,53.1028443,6.8694863,1,192,0.1
HAEOLUS,NOR,Operational,H2,70.76517495,29.08368726,2.5,481,0.4
FUTURECEM,DNK,Concept,Various,0,0,100,22222,17.3
Primolyzer (R&D),DNK,DEMO,H2,0,0,0.005,1,0
PROCON (R&D),DNK,DEMO,H2,0,0,,,
Foulum Demonstration plant,DNK,DEMO,CH4,0,0,0.25,48,0
Green Natural Gas,DNK,DEMO,CH4,0,0,0.04,11,0
?€?Towards the Methane Society?€?,DNK,DEMO,CH4,0,0,,,
"MEDLYS, Medium temperature water electrolysis (R&D)",DNK,DEMO,H2,0,0,,,
MeGa-stoRE,DNK,DEMO,CH4,0,0,0.006,1,0
MeGa-stoRE Optimising and Upscaling,DNK,DEMO,CH4,0,0,0.25,54,0
"Vestenskov/ Nakskov Industrial and Environmental Park, Lolland",DNK,DEMO,H2,0,0,0.083,16,0
H2RES - Orsted offshore wind,DNK,Operational,H2,55.6255437,12.4550501,2,435,0.3
Sams??,DNK,Other/Unknown,H2,0,0,,,
H??st - Esbjerg green ammonia plant,DNK,Concept,Ammonia,55.47683853,8.462096409,1000,222222,173.3
HRS Aalborg,DNK,Operational,H2,0,0,0.25,54,0
eSMR Methanol demo plant in Aarhus University,DNK,DEMO,MeOH,56.17220541,10.1571506,2.643,587,0.5
HyCycle - Center for renewable H2 (R&D),DNK,DEMO,H2,0,0,,,
NEXPEL (R&D),NOR,DEMO,H2,0,0,,,
Glomfjord Hydrogen AS,NOR,Feasibility study,H2,0,0,2,435,0.3
"HyNor Lillestr??m, Akershus Energy Park",NOR,Operational,H2,0,0,,10,0
Statkraft-CELSA-Mo green H2 for steel production,NOR,Feasibility study,H2,66.310371,14.169271,45,9783,7.6
Utsira Island,NOR,DEMO,H2,0,0,0.048,10,0
Acorn H2,GBR,Feasibility study,H2,57.17912975,-2.101654656,,64045,49.9
Laboratory System at IFE Kjeller Phase 1,NOR,DEMO,H2,0,0,0.004,1,0
"Green fertilizer project Porsgrunn-Heroya, phase 1 - SKREI",NOR,Operational,Ammonia,59.13990876,9.654776822,24,4615,3.6
"Gigastack-Hornsea 2, phase I",GBR,Other/Unknown,H2,53.627311,-0.241579,100,19231,15
The Hydrogen office,GBR,DEMO,H2,0,0,0.024,5,0
RABH2,GBR,DEMO,H2,0,0,0.005,1,0
Air Fuel Synthesis pilot plant,GBR,DEMO,Synfuels,0,0,,,
"Aberdeen Kittybrewster, Hydrogen bus project",GBR,DEMO,H2,57.16059318,-2.114359234,1,217,0.2
"Fife, Levenmouth Community Energy Project",GBR,Operational,H2,56.17696925,-3.017429263,0.37,82,0.1
"PURE Project, Unst",GBR,Operational,H2,0,0,0.015,3,0
Tyseley Energy Park refuelling hub Birmingham,GBR,Operational,H2,52.46241628,-1.8405931,3,577,0.4
"H2H Saltend, phase 1",GBR,Feasibility study,H2,53.74361892,-0.24953475,,192135,149.8
Green Fuels for Denmark - Phase 2,DNK,Feasibility study,Various,55.67598713,12.57032956,240,53333,41.6
Green Fuels for Denmark - Phase 3,DNK,Feasibility study,Various,55.67598713,12.57032956,1050,233333,181.9
Whitelee Green Hydrogen Facility- Green Hydrogen for Glasgow (Phase 1),GBR,FID/Construction,H2,55.71249156,-4.341732424,7.1,1365,1.1
CF Industries - Donaldsonville Nitrogen Complex,USA,FID/Construction,Ammonia,30.09898196,-90.95452514,20,4348,3.4
Linde - Ontario (California),USA,Feasibility study,H2,34.06396892,-117.6450024,5,962,0.7
Westkuste 100 (Phase 2),DEU,Feasibility study,H2,54.19038729,9.108629401,670,145652,113.6
"H2 Pilotanlage Lingen, phase 1",DEU,Operational,H2,52.48255651,7.299667812,10,2174,1.7
HySynGas,DEU,Feasibility study,CH4,0,0,50,9615,7.5
Northern Irish hydrogen project - Ballymena Hydrogen,GBR,FID/Construction,H2,54.97455544,-6.4300041,1,222,0.2
"Eyre Peninsula Gateway Hydrogen Project, phase 1",AUS,Feasibility study,Ammonia,-32.96169856,137.7678269,100,22222,17.3
"North CCU HUB, phase 1. North C Hydrogen",BEL,Feasibility study,H2,51.04097789,3.844331149,65,14444,11.3
Centurion,GBR,Other/Unknown,H2,0,0,100,19231,15
"Asian Renewable Energy Hub, first phase",AUS,Feasibility study,Various,-20.317253,121.042081,,,
IPCEI SilverFrog,ITA,Concept,H2,0,0,,,
IPCEI New Green Flamingo,"PRT
ESP",Concept,H2,0,0,,,
Murchison,AUS,Feasibility study,H2,-26.87199835,115.9799318,3000,576923,449.8
NEOM Green Hydrogen Project,SAU,FID/Construction,Ammonia,28.30590813,34.84928492,2200,478261,372.9
IPCEI Blue Danube,"ROM
DEU
AUT",Concept,H2,0,0,,,
Project GERI,AUS,Feasibility study,Ammonia,-28.76860234,114.6119985,,,
IPCEI Black Horse (40 electrolysis production sites),"POL
CZE
SVK
HUN",Concept,H2,0,0,,,
Project NEO,AUS,Concept,H2,0,0,1000,222222,173.3
HyEx - phase 1,CHL,Feasibility study,Ammonia,-23.09530274,-70.4331803,26,5778,4.5
HyEx - phase 2,CHL,Feasibility study,Ammonia,-23.09530274,-70.4331803,2000,444444,346.5
Costa Rica Transportation Ecosystem Project,CRI,Feasibility study,H2,10.42109784,-85.42096886,1,192,0.1
"HyNetherlands, 1st phase",NLD,Feasibility study,H2,53.41731836,6.450035449,100,22222,17.3
HyNetherlands 2nd phase,NLD,Feasibility study,H2,53.41731836,6.450035449,900,200000,155.9
HyGreen Provence,FRA,Feasibility study,H2,43.8362336,5.783416115,350,77778,60.6
Sundance Hydrogen,CAN,Feasibility study,MeOH,55.12619937,-120.9897637,252.809,56180,43.8
Port of Rotterdam BP refinery - H2-Fifty,NLD,Feasibility study,H2,51.93906891,4.110092384,250,55556,43.3
"Hysencia, Phase I",ESP,Feasibility study,H2,41.53512385,-0.891003208,40,8889,6.9
"Ningxia Solar Hydrogen Project, Phase 1",CHN,Operational,H2,38.4925329,106.2384696,30,6522,5.1
Dyno Nobel Renewable Hydrogen Project,AUS,Feasibility study,Ammonia,-22.01154812,148.0140378,160,35556,27.7
Green Crane Pais Vasco Hub,ESP,Feasibility study,H2,43.21358,-2.570276,150,33333,26
Green Crane - La Robla,ESP,Feasibility study,H2,42.79235635,-5.633792941,280,62222,48.5
"Green Crane, Aragon Hub",ESP,Feasibility study,H2,41.31366621,-0.928434671,30,6667,5.2
Hydrogen Plant for Westereems Wind Farm (RWE Eemshydrogen),NLD,Feasibility study,H2,53.43912043,6.836530401,50,9615,7.5
