Project/Plant Name,status,technology_all,technology,rated power_kW,country,latitude,longitude,grid_level
"University of Hawaii Smart Grid Regional and Energy Storage Demonstration Project (Maui Smart Grid) - Maui Electric Company & NEC Energy Solutions, Inc.",Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,United States,21,-156,Transmission
"CSIRO, ZBB Experimental Zinc-Bromide Flow Battery",De-Commissioned,Electro-chemical battery and chemical storage,Flow battery,100,Australia,-32.8852157,151.727845,null
Washington State University 1 MW UET Flow Battery - Avista Utilities,Operational,Electro-chemical battery and chemical storage,Flow battery,1000,United States,46.7273316,-117.15,null
Los Angeles Community College District - Calmac,Operational,Thermal energy storage,Latent heat,4620,United States,34.086772,-118.29,Secondary Distribution
"NextEra Canada Development & Acquisitions, Inc.- Parry ",Announced,Electro-chemical battery and chemical storage,Lithium-ion battery,2000,Canada,51,-85,Transmission
Japan-US Collaborative Smart Grid Project,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,1000,United States,35.8783147,-106.32,Primary Distribution
"1 MW / 2 MWh - EPRI + Southern Company Pilot BESS - Cedartown, Georgia",Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,United States,34,-85,null
Ice Energy project at 2010 Churn Creek Rd ,Operational,Thermal energy storage,Latent heat,20,United States,40.57787115,-122.3542245,null
Ice Energy project at 100 Lake Blvd ,Operational,Thermal energy storage,Latent heat,20,United States,40.61151949,-122.3822139,null
Warrior Run 10 MW Advancion Energy Storage - AES,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,10000,United States,39.5987423,-78.74,Transmission
20 Pacifica Irvine Co - AMS Hybrid-Electric Building,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,250,United States,33.65068625,-117.7497199,Secondary Distribution
Nordstrom (Ala Moana Center) - Calmac,Operational,Thermal energy storage,Latent heat,1200,United States,21.2912881,-157.84,Secondary Distribution
Geli EOS enabled CODA Core System (City of Benicia City Hall),Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,20,United States,38.05237612,-122.1525948,null
2 MW - W.C. Beckjord Retired Coal Plant - Duke Energy,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2000,United States,38.9486757,-84.28,null
Smart Operator Wincheringen LiOn,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,30,Germany,50,6,Primary Distribution
Plate Taille Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,143000,Belgium,50.1857528,4.38,Transmission
Intelligentes Netz Energie Speicher System (INESS),Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,27,Germany,48.930813,10.11,null
Puerto Errado 1 Thermosolar Power Plant,Operational,Thermal energy storage,Sensible heat,1400,Spain,38.283086,-1.6,null
Tanna Island Renewable Energy Community,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,15,Vanuatu,-20,169,null
Gills Onions - Prudent Energy VRB-ESS,Operational,Electro-chemical battery and chemical storage,Flow battery,600,United States,34.1908099,-119.16,Secondary Distribution
Vancouver Electrochemical Energy Storage Project - University of British Columbia,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,Canada,49.261045,-123.25,null
Regina High Wind and Storage Project - Cowessess First Nation,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,400,Canada,50.41699,-104.46,Secondary Distribution
NEC Kyuhsu BESS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,500,Japan,33.5903547,130.4,null
ABB & UK Power Networks Energy Storage Installation,De-Commissioned,Electro-chemical battery and chemical storage,Lithium-ion battery,200,United Kingdom,52.6969622,1.6917444,Transmission
Western Power Distribution (WPD) Battery Storage Facility - RES (UK),Operational,Electro-chemical battery and chemical storage,,300,United Kingdom,51.0737494,-2.71,null
Golden Valley Electric Association (GVEA) Battery Energy Storage System (BESS),Operational,Electro-chemical battery and chemical storage,Nickel-based battery,27000,United States,64.8377778,-147.72,Transmission
KT GAMACO Project,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,250,South Korea,37.613098,127.1319711,Transmission
Grapzow 140 MW Wind Park with 1 MW Power to Gas System,Operational,Electro-chemical battery and chemical storage,Hydrogen storage,1000,Germany,53.71199,13.29,Secondary Distribution
Tierra Atacama Hotel & Spa,Operational,Electro-chemical battery and chemical storage,,180,Chile,-23,-68,null
EEBatt - Energy Neighbor Pilot Project,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,249,Germany,49.01487865,12.10299361,Secondary Distribution
"20 kW / 72 kWh ICL Fire Retardant Production Site - Rancho Cucamonga, CA",Operational,Electro-chemical battery and chemical storage,Flow battery,20,United States,34,-118,Secondary Distribution
Tozzi Green - i-NEXT,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,100,Italy,38.1253798,14.72,Secondary Distribution
Jocassee Pumped Hydro Storage,Operational,Electro-mechanical energy storage,Pumped hydro storage,710000,United States,34.960334,-82.92,Transmission
Kruonis Hydro Pumped Storage & Extension Project,Operational,Electro-mechanical energy storage,Pumped hydro storage,900000,Lithuania,54.797866,24.25,Primary Distribution
CODA Energy - CORE 40/30,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,30,United States,34.141763,-118,Secondary Distribution
Nishi-Sendai Substation - Tohoku Electric / Toshiba,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,40000,Japan,38.268215,140.87,null
Waldeck I Pumped Hydro Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,140000,Germany,51.1624468,9.06,Transmission
Fast-Charging e-Bus M??nster,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,55,Germany,51.9401087,7.64,Primary Distribution
Yerba Buena Battery Energy Storage Pilot Project - Pacific Gas & Electric Company,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,4000,United States,37.3061821,-121.75,Primary Distribution
IPL Advancion Energy Storage Array,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,20000,United States,39.7113135,-86.19,Transmission
Dlouh?? Str??n?? Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,650000,Czech Republic,50.0817956,17.18,Transmission
Sardar Sarovar Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,1450000,India,22.7997334,72.58,Transmission
RES Battery Utility of Ohio,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,4000,United States,40.261109,-82.83,Primary Distribution
Enel Livorno Test Facility: 15 kW Lithium Ion,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,15,Italy,43.548473,10.31,null
Goldisthal Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,1060000,Germany,50.509,11.003,Transmission
S&C CES: Chicago/PJM Frequency Regulation,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,150,United States,41.8781136,-87.63,null
Seville BESS Abeinsa- Instalaciones Inabensa (Abengoa),Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1000,Spain,37.3890924,-5.98,null
Diamant PV Plant & Energy Storage,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2472,Martinique,14.4887388,-61.01,Secondary Distribution
Hohhot Pumped Storage Power Station - Alstom / GE,Operational,Electro-mechanical energy storage,Pumped hydro storage,1224000,China,40.842299,111.75,Transmission
Tai'an Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,1000000,China,36.200252,117.09,Transmission
SCE LESTA: 2 MW A123 Test,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2000,United States,33.7513419,-117.99,null
Auwahi Wind Farm ,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,11000,United States,20.7909697,-156.33,null
