name,type,status,country,latitude,longitude,injection
Touchstone Bioconversion Pilot Plant,Capture & Storage,Completed,United States,40.824822,-81.865536,0
Total Lacq Project,Capture & Storage,Completed,France,43.409338,-0.634186,"51,000"
SEQ Zero Emission Power Plant (ZEPP),Capture & Storage,Completed,Netherlands,53.107152,6.050072,685
SECARB Development Phase - Citronelle Project,Capture & Storage,Completed,United States,31.005154,-88.008941,"114,104"
PCOR Validation Phase - Zama Field Test,Capture & Storage,Completed,Canada,59.064553,-118.880284,"84,986"
MRCSP Validation Phase - Michigan Basin Geologic Test,Capture & Storage,Completed,United States,45.044878,-84.487203,"60,000"
Mitchell Energy Bridgeport Plant,Capture & Storage,Completed,United States,33.205873,-97.729303,500
MGSC Development Phase - Illinois Basin Decatur Project,Capture & Storage,Completed,United States,39.876963,-88.89341,"999,215"
Joffre Viking EOR Project,Capture & Storage,Completed,Canada,52.309312,-113.549264,"39,566"
CS Energy Callide Oxyfuels Project,Capture & Storage,Completed,Australia,-24.34121895,150.6085205,82
CONSOL Energy - Sequestration of CO2 in Unmineable Coal Seams,Capture & Storage,Completed,United States,39.748189,-80.541217,"4,516"
Carbon Dioxide Technology Corp - Lubbock Plant,Capture & Storage,Completed,United States,33.45438,-101.862836,"1,200"
ARI Eastern Shale CO2 Injection Test,Capture & Storage,Completed,United States,37.290102,-82.615054,300
Air Products and Chemicals Inc. CCS Project,Capture & Storage,Completed,United States,29.865913,-93.967359,"2,740"
We Energies Pleasant Prairie Field Pilot,Capture,Completed,United States,42.53944,-87.90444,81
TEPCO Yokosuka,Capture,Completed,Japan,35.215,139.72028,90
Slipstream Testing of a Membrane CO2 Capture Process for Existing Coal-Fired Power Plants,Capture,Completed,United States,33.243601,-86.469014,20
Slipstream Development and Testing of Siemens POSTCAP Capture and Separation Technology,Capture,Completed,United States,27.794879,-82.40066,50
Sargas Vartan,Capture,Completed,Sweden,59.34833,18.07028,
RWE/BASF/Linde CO2 Capture Project Niederaussem,Capture,Completed,Germany,50.994088,6.667984,"2,000"
Nippon Steel CO2 Capture Project,Capture,Completed,Japan,35.35792923,139.8679047,170
Mulgrave Capture Project - CO2CRC,Capture,Completed,Australia,-37.913772,145.15598,741
Matsushima Coal Plant Capture Project,Capture,Completed,Japan,32.939747,129.59783,10
H3 Capture Project-CO2CRC,Capture,Completed,Australia,-38.272924,146.391758,0
Evaluation of Solid Sorbents as a Retrofit Technology for CO2 Capture,Capture,Completed,United States,33.632011,-87.060964,25
"E.ON Coal Plant in Wilhelmshaven, Germany",Capture,Completed,Germany,53.565104,8.145691,70
CSIRO Transportable Capture Unit Tarong (Queensland),Capture,Completed,Australia,-26.783583,151.91512,4
CSIRO Transportable Capture Unit Munmorah (New South Wales),Capture,Completed,Australia,-33.211619,151.542258,10
CASTOR CO2 from Capture to Storage,Capture,Completed,Denmark,55.45437622,8.453642845,22
Yates Oil Field EOR Operations,Storage,Active,United States,30.920613,-101.935292,"20,800"
West Texas and Llano Pipelines Power CCS,Storage,Active,United States,31.927655,-102.212316,"1,000"
ULYSSES Sequestration,Storage,Active,Ireland,53.321801,-5.809636,
Turnu EOR,Storage,Active,Romania,45.871514,22.053591,"150,000"
SWP Development Phase - Farnsworth Unit Ochiltree Project,Storage,Active,United States,36.260007,-101.009301,"1,000,000"
Sunrise LNG Sequestration,Storage,Active,Australia,-8.945793,126.429718,
"Salt Creek, Monell, Sussex Unit EOR",Storage,Active,United States,41.514815,-108.615272,"5,480"
Rangely-Webber EOR,Storage,Active,United States,40.14480209,-108.9541397,"3,562"
