TerminalName,type,status,country,Capacity,CapacityUnits,CapacityInBcm/y,latitude,longitude
Skikda LNG Terminal,Export,Retired,Algeria,1,mtpa,1.36,36.8779,6.9415
Skikda LNG Terminal,Export,Retired,Algeria,1.25,mtpa,1.7,36.8779,6.9415
Skikda LNG Terminal,Export,Retired,Algeria,1.25,mtpa,1.7,36.8779,6.9415
Skikda LNG Terminal,Export,Operating,Algeria,4.5,mtpa,6.12,36.8779,6.9415
Angola LNG Terminal,Export,Operating,Angola,5.2,mtpa,7.07,-6.11957,12.33596
Cotonou FSRU,Import,Cancelled,Benin,,,--,6.346,2.429
Cameroon FLNG Terminal,Export,Operating,Cameroon,0.6,mtpa,0.82,2.935,9.91
Cameroon FLNG Terminal,Export,Operating,Cameroon,0.6,mtpa,0.82,2.935,9.91
Cameroon FLNG Terminal,Export,Operating,Cameroon,0.6,mtpa,0.82,2.935,9.91
Cameroon FLNG Terminal,Export,Operating,Cameroon,0.6,mtpa,0.82,2.935,9.91
Cameroon LNG Terminal,Export,Cancelled,Cameroon,3.5,mtpa,4.76,2.935,9.91
Damietta SEGAS LNG Terminal,Export,Operating,Egypt,5,mtpa,6.8,31.469,31.7473
Damietta SEGAS LNG Terminal,Export,Cancelled,Egypt,5,mtpa,6.8,31.469,31.7473
Egyptian LNG Terminal,Export,Operating,Egypt,3.6,mtpa,4.9,31.34904805,30.31864655
Egyptian LNG Terminal,Export,Operating,Egypt,3.6,mtpa,4.9,31.34904805,30.31864655
Fortuna FLNG Terminal,Export,Proposed,Equatorial Guinea,,,--,3.2,7.6
Fortuna FLNG Terminal,Export,Cancelled,Equatorial Guinea,0.63,mtpa,0.86,3.2,7.6
Fortuna FLNG Terminal,Export,Cancelled,Equatorial Guinea,0.63,mtpa,0.86,3.2,7.6
Fortuna FLNG Terminal,Export,Cancelled,Equatorial Guinea,0.63,mtpa,0.86,3.2,7.6
Punta Europa LNG Terminal,Export,Operating,Equatorial Guinea,3.7,mtpa,5.03,3.776,8.7015
Punta Europa LNG Terminal,Export,Cancelled,Equatorial Guinea,4.4,mtpa,5.98,3.776,8.7015
Tema FSRU,Import,Construction,Ghana,1.7,mtpa,2.31,5.734005,0.03197
Mombasa LNG Terminal,Import,Shelved,Kenya,,,--,-4.05,39.666667
Marsa El Brega LNG Terminal,Export,Mothballed,Libya,0.8,mtpa,1.09,30.40675,19.5935
Marsa El Brega LNG Terminal,Export,Mothballed,Libya,0.8,mtpa,1.09,30.40675,19.5935
Marsa El Brega LNG Terminal,Export,Mothballed,Libya,0.8,mtpa,1.09,30.40675,19.5935
Marsa El Brega LNG Terminal,Export,Mothballed,Libya,0.8,mtpa,1.09,30.40675,19.5935
Jorf Lasfar LNG Terminal,Import,Proposed,Morocco,7,bcm/y,7,33.1267,-8.62028
Mozambique LNG Terminal,Export,Proposed,Mozambique,6.45,mtpa,8.77,-10.807908,40.796899
Mozambique LNG Terminal,Export,Proposed,Mozambique,6.45,mtpa,8.77,-10.807908,40.796899
Mozambique LNG Terminal,Export,Proposed,Mozambique,5,mtpa,6.8,-10.807908,40.796899
Mozambique LNG Terminal,Export,Proposed,Mozambique,5,mtpa,6.8,-10.807908,40.796899
Coral South FLNG Terminal,Export,Operating,Mozambique,3.4,mtpa,4.62,-10.9,41.2
Nigeria LNG Terminal,Export,Operating,Nigeria,3.3,mtpa,4.49,4.41836,7.16157
Nigeria LNG Terminal,Export,Operating,Nigeria,3.3,mtpa,4.49,4.41836,7.16157
Nigeria LNG Terminal,Export,Operating,Nigeria,3.3,mtpa,4.49,4.41836,7.16157
Nigeria LNG Terminal,Export,Operating,Nigeria,4.1,mtpa,5.58,4.41836,7.16157
Nigeria LNG Terminal,Export,Operating,Nigeria,4.1,mtpa,5.58,4.41836,7.16157
Nigeria LNG Terminal,Export,Operating,Nigeria,4.1,mtpa,5.58,4.41836,7.16157
Nigeria LNG Terminal,Export,Construction,Nigeria,8,mtpa,10.88,4.41836,7.16157
Nigeria LNG Terminal,Export,Shelved,Nigeria,,,--,4.41836,7.16157
Nigeria LNG Terminal,Export,Shelved,Nigeria,,,--,4.41836,7.16157
Nigeria LNG Terminal,Export,Shelved,Nigeria,,,--,4.41836,7.16157
Nigeria LNG Terminal,Export,Shelved,Nigeria,,,--,4.41836,7.16157
Nigeria LNG Terminal,Export,Shelved,Nigeria,,,--,4.41836,7.16157
Nigeria LNG Terminal,Export,Proposed,Nigeria,3.4,mtpa,4.62,4.41836,7.16157
Brass LNG Terminal,Export,Proposed,Nigeria,5,mtpa,6.8,4.31,6.246
Brass LNG Terminal,Export,Proposed,Nigeria,5,mtpa,6.8,4.31,6.246
Olokola LNG Terminal,Export,Proposed,Nigeria,6.3,mtpa,8.57,5.021667,8.320278
Olokola LNG Terminal,Export,Proposed,Nigeria,6.3,mtpa,8.57,5.021667,8.320278
Olokola LNG Terminal,Export,Cancelled,Nigeria,,,--,5.021667,8.320278
Olokola LNG Terminal,Export,Cancelled,Nigeria,,,--,5.021667,8.320278
Tanzania LNG Terminal,Export,Proposed,Tanzania,5,mtpa,6.8,-9.96,39.708889
Tanzania LNG Terminal,Export,Proposed,Tanzania,5,mtpa,6.8,-9.96,39.708889
Mossel Bay FSRU,Import,Cancelled,South Africa,2,mtpa,2.72,-34.183333,22.133333
Coega FSRU,Import,Proposed,South Africa,,,--,-33.78287,25.7084
Richards Bay FSRU,Import,Proposed,South Africa,,,--,-28.8,32.1
Saldanha Bay FSRU,Import,Proposed,South Africa,,,--,-33.034722,18.009722
Kutubdia LNG Terminal (Petronet),Import,Cancelled,Bangladesh,7.5,mtpa,10.2,21.816667,91.858333
Kutubdia (Reliance) FSRU,Import,Cancelled,Bangladesh,3.75,mtpa,5.1,21.816667,91.858333
Moheshkhali FLNG Terminal (Petrobangla),Import,Operating,Bangladesh,4.5,mtpa,6.12,21.608081,91.825979
Summit FSRU,Import,Operating,Bangladesh,3.8,mtpa,5.17,21.55,91.95
Brunei LNG Terminal,Export,Operating,Brunei,1.5,mtpa,2.04,4.6698,114.467
Brunei LNG Terminal,Export,Operating,Brunei,1.5,mtpa,2.04,4.6698,114.467
Brunei LNG Terminal,Export,Operating,Brunei,1.5,mtpa,2.04,4.6698,114.467
Brunei LNG Terminal,Export,Operating,Brunei,1.5,mtpa,2.04,4.6698,114.467
Brunei LNG Terminal,Export,Operating,Brunei,1.4,mtpa,1.9,4.6698,114.467
Abadi LNG Terminal,Export,Proposed,Indonesia,9.5,mtpa,12.92,-9.109098777,130.280905
Arun LNG Import Terminal,Import,Operating,Indonesia,3,mtpa,4.08,5.2234,97.083
Arun LNG Terminal,Export,Retired,Indonesia,3,mtpa,4.08,5.2234,97.083
Arun LNG Terminal,Export,Retired,Indonesia,2.9,mtpa,3.94,5.2234,97.083
Arun LNG Terminal,Export,Retired,Indonesia,2.9,mtpa,3.94,5.2234,97.083
Arun LNG Terminal,Export,Retired,Indonesia,3.5,mtpa,4.76,5.2234,97.083
Arun LNG Terminal,Export,Retired,Indonesia,3.5,mtpa,4.76,5.2234,97.083
Arun LNG Terminal,Export,Retired,Indonesia,3.5,mtpa,4.76,5.2234,97.083
Tanjung Benoa FSRU,Import,Operating,Indonesia,0.35,mtpa,0.48,-8.746306,115.2094864
Bojonegara LNG Terminal,Import,Cancelled,Indonesia,7,mtpa,9.52,-5.8846501,106.0554886
Bontang LNG Terminal,Export,Retired,Indonesia,2.7,mtpa,3.67,0.10123,117.4701
Bontang LNG Terminal,Export,Retired,Indonesia,2.7,mtpa,3.67,0.10123,117.4701
Bontang LNG Terminal,Export,Retired,Indonesia,2.7,mtpa,3.67,0.10123,117.4701
Bontang LNG Terminal,Export,Retired,Indonesia,2.7,mtpa,3.67,0.10123,117.4701
Bontang LNG Terminal,Export,Idle,Indonesia,2.8,mtpa,3.81,0.10123,117.4701
Bontang LNG Terminal,Export,Idle,Indonesia,2.8,mtpa,3.81,0.10123,117.4701
Bontang LNG Terminal,Export,Operating,Indonesia,2.8,mtpa,3.81,0.10123,117.4701
Bontang LNG Terminal,Export,Operating,Indonesia,2.95,mtpa,4.01,0.10123,117.4701
Bontang LNG Terminal,Export,Cancelled,Indonesia,2.95,mtpa,4.01,0.10123,117.4701
Central Java FSRU,Import,Cancelled,Indonesia,1.4,mtpa,1.9,-7.733333,109
Jawa Satu FSRU,Import,Operating,Indonesia,2.4,mtpa,3.26,-6.2443159,107.5832748
Donggi-Senoro LNG Terminal,Export,Operating,Indonesia,2,mtpa,2.72,-1.254369,122.58559
Lampung FSRU,Import,Operating,Indonesia,2.7,mtpa,3.67,-5.45,105.94
Nusantara Regas Satu Terminal,Import,Operating,Indonesia,3,mtpa,4.08,-5.992909,106.82
Sengkang LNG Terminal,Export,Shelved,Indonesia,0.5,mtpa,0.68,-4.5459732,120.4136867
Sengkang LNG Terminal,Export,Shelved,Indonesia,0.5,mtpa,0.68,-4.5459732,120.4136867
Sengkang LNG Terminal,Export,Shelved,Indonesia,0.5,mtpa,0.68,-4.5459732,120.4136867
Sengkang LNG Terminal,Export,Shelved,Indonesia,0.5,mtpa,0.68,-4.5459732,120.4136867
Tangguh LNG Terminal,Export,Operating,Indonesia,3.8,mtpa,5.17,-2.44314,133.139
Tangguh LNG Terminal,Export,Operating,Indonesia,3.8,mtpa,5.17,-2.44314,133.139
Tangguh LNG Terminal,Export,Operating,Indonesia,3.8,mtpa,5.17,-2.44314,133.139
Lahad Datu Sabah LNG Terminal,Import,Cancelled,Malaysia,0.76,mtpa,1.03,5.03,118.34
Satu FLNG Terminal,Export,Operating,Malaysia,1.2,mtpa,1.63,7.375718,115.480022
Dua FLNG Terminal,Export,Operating,Malaysia,1.5,mtpa,2.04,12,113
Melaka FSRU,Import,Operating,Malaysia,3.8,mtpa,5.17,2.2444375,102.1234396
Pengerang Johor LNG Terminal,Import,Operating,Malaysia,3.5,mtpa,4.76,1.341382,104.182089
Dua Malaysia LNG Terminal,Export,Operating,Malaysia,3.2,mtpa,4.35,3.28238,113.083
Dua Malaysia LNG Terminal,Export,Operating,Malaysia,3.2,mtpa,4.35,3.28238,113.083
Dua Malaysia LNG Terminal,Export,Operating,Malaysia,3.2,mtpa,4.35,3.28238,113.083
Malaysia LNG Terminal,Export,Operating,Malaysia,3.6,mtpa,4.9,3.2903,113.087
