ProjectID,Wiki,TerminalName,FacilityType,Status,Country,Capacity,CapacityUnits,CapacityInBcm/y,StartYearEarliest,Location,State/Province,Latitude,Longitude,CostUSD,LastUpdated
0,https://www.gem.wiki/Golar_Lagos_FSRU,Golar Lagos FSRU,Import,Cancelled,Nigeria,5.7,mtpa,7.75,--,,,6.450737,3.373252,--,2024-07-18
0,https://www.gem.wiki/Philippines_LNG_Terminal,Philippines LNG Terminal,Import,Operating,Philippines,5,mtpa,6.8,2023,Batangas,Batangas,13.753821,121.040525,262800000,2024-07-15
0,https://www.gem.wiki/Hambantota_LNG_Terminal,Hambantota LNG Terminal,Import,Shelved,Sri Lanka,1,mtpa,1.36,--,Port of Hambantota,,6.117128,81.10897,100000000,2024-07-10
0,https://www.gem.wiki/SK_Group_Sri_Lanka_LNG_Terminal,SK Group Sri Lanka LNG Terminal,Import,Shelved,Sri Lanka,,,--,--,unknown,,,,600000000,2024-07-10
0,https://www.gem.wiki/Sharjah_FSRU,Sharjah FSRU,Import,Cancelled,United Arab Emirates,1,bcf/d,10.34,2020,Sharjah,Sharjah,25.379099,55.387511,--,2024-06-05
1,https://www.gem.wiki/CP2_LNG_Terminal,CP2 LNG Terminal,Export,Proposed,United States,10,mtpa,13.6,2026,Cameron,Louisiana,29.77427234,-93.32394745,5000000000,2024-05-22
2,https://www.gem.wiki/CP2_LNG_Terminal,CP2 LNG Terminal,Export,Proposed,United States,10,mtpa,13.6,2027,Cameron,Louisiana,29.77427234,-93.32394745,5000000000,2024-05-22
0,https://www.gem.wiki/Long_Son_LNG_Terminal,Long Son LNG Terminal,Import,Shelved,Vietnam,4.4,mtpa,5.98,2025,,Bà Rịa–Vũng Tàu,10.448768,107.053334,--,2024-07-16
0,https://www.gem.wiki/Mui_Ke_Ga_FSRU,Mui Ke Ga FSRU,Import,Proposed,Vietnam,1.5,mtpa,2.04,2025,Mui Ke Ga,Binh Thuan,10.7028408,107.987166,--,2024-07-16
0,https://www.gem.wiki/Tabangao_FSRU,Tabangao FSRU,Import,Proposed,Philippines,3,mtpa,4.08,2025,Tabangao Port,Batangas,13.71335,121.06099,63000000,2024-07-15
0,https://www.gem.wiki/Vires_FSRU,Vires FSRU,Import,Cancelled,Philippines,3,mtpa,4.08,2026,"Barangay Simlong, Batangas City",Batangas,13.661629,121.050747,--,2024-09-05
0,https://www.gem.wiki/Khanh_Hoa_LNG_Terminal,Khanh Hoa LNG Terminal,Import,Shelved,Vietnam,3,mtpa,4.08,2030,Khanh Hoa,,12.206079,109.215174,--,2024-07-16
0,https://www.gem.wiki/Cat_Hai_FSRU,Cat Hai FSRU,Import,Shelved,Vietnam,3,mtpa,4.08,2030,Hai Phong,,20.866225,106.678881,--,2024-07-16
