Ref,Project name,Country,Status,Technology,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,References,Latitude,Longitude,Dummy_1,LOWE_CF,,,,,
63,Falkenhagen STORE&GO,DEU,Operational,PEM,Grid,,CH4,,,,,,,,,,,,,1,,1,192,0.1,,[372] [737],0,0,Electrolysis,0.57,,,,,
64,"NEDO kofu city, Yamanashi Prefecture",JPN,Operational,PEM,Other/unknown,,H2,,,,,,,,,1,,,,,,1.5,288,0.2,,"[109], [201], [705]",35.61528621,138.6942969,Electrolysis,0.57,,,,,
65,Semakau island microgrid Engie (SPORE),SGP,Operational,Other Electrolysis,Other/Unknown,,H2,,,,,,1,1,,,,,,,,0.05,11,0.0,,"[244], [707]",0,0,Electrolysis,0.57,,,,,
66,H2PLAZA - Toyota Industries Corporation’s Takahama,JPN,Operational,Other Electrolysis,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,0.045,10,0.0,,"[554], [708]",0,0,Electrolysis,0.5,,,,,
67,Localhy,DEU,Operational,Other Electrolysis,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,,,,,[601][602],0,0,Electrolysis,0.5,,,,,
68,Wind to Gas Südermarsch,DEU,Operational,PEM,Dedicated renewable,Onshore wind,H2,,,,,,1,,1,,,,,,,2.4,462,0.4,,[222] [431] [737],53.91224209,9.13196747,Electrolysis,0.4,,,,,
69,Carbon2Chem,DEU,Operational,ALK,Grid,,Various,,1,1,,1,,,,,,,,,,2,435,0.3,,[459],51.49141758,6.723969506,Electrolysis,0.57,,,,,
70,SunLine Transit Agency,USA,Operational,PEM,Other/unknown,,H2,,,,,,1,,,,,,,,,1.5,288,0.2,,[405],0,0,Electrolysis,0.57,,,,,
71,HyBALANCE,DNK,Operational,PEM,Dedicated renewable,Onshore wind,H2,,,,,,1,,1,,,,,,,1.5,288,0.2,,"[2], [4], [8], [48], [49]",56.63941921,9.79841809,Electrolysis,0.4,,,,,
72,Aberdeen Conference Center,GBR,Operational,ALK,Other/unknown,,H2,,,,,,,,,1,1,,,,,1,217,0.2,,[460],0,0,Electrolysis,0.57,,,,,
