type,latitude,longitude,capacity_mw
Hydro,-26.7667,-49.4333,15.0
Hydro,-18.9011,-42.446,1.35
Hydro,-12.45,-45.2,10.649
Hydro,-27.0094,-52.4303,21.0
Hydro,0.9,-59.3333,5.0
Hydro,-14.5069,-56.4025,1.68
Hydro,-19.245,-52.8994,29.0
Biomass,-21.3049,-46.8541,8.0
Hydro,-18.7903,-48.1472,243.675
Hydro,-18.6597,-48.4353,210.0
Biomass,-22.4341,-53.5685,120.0
Hydro,-22.699,-47.2842,30.0
Hydro,-14.6286,-41.1889,1.0
Hydro,-27.4547,-48.9828,26.29
Biomass,-22.1522,-53.7618,96.0
Hydro,-20.4667,-47.8667,22.68
Hydro,-21.4858,-43.4539,1.68
Hydro,-27.6497,-51.195,1.0
Hydro,-15.0472,-58.7517,21.96
Hydro,-19.6047,-42.8583,1.35
Hydro,-27.2714,-51.5481,2.9028
Hydro,-24.4789,-49.0636,1.0
Hydro,-9.3575,-38.2083,400.0
Hydro,-18.6805,-52.5842,1.0
Hydro,-17.6167,-54.9167,4.2
Biomass,-19.843,-40.0747,210.4
Biomass,-10.874,-51.6235,1.2
Biomass,-20.9045,-50.4015,4.8
Hydro,-22.2333,-43.0833,18.0
Hydro,-22.1561,-44.0875,5.14917
Hydro,-11.6986,-46.7361,11.4
Hydro,-19.5761,-41.8028,19.8
Hydro,-26.88,-51.2797,1.0
Biomass,-21.4998,-47.3568,4.5
Hydro,-25.5681,-53.0742,29.072
Hydro,-27.0667,-52.4833,13.0
Hydro,-20.6753,-53.5676,29.5
Biomass,-9.8679,-57.8132,3.0
Hydro,-28.8258,-51.8414,24.0
Hydro,-22.2939,-43.4181,1.0
Biomass,-9.9125,-36.3245,53.0
Hydro,-19.022,-42.123,140.544
Biomass,-12.6389,-38.3275,108.6
Hydro,-1.9158,-59.4733,249.75
Biomass,-21.9833,-47.4404,45.0
Biomass,-20.0826,-46.0278,30.0
Hydro,-26.7994,-53.6667,3.0
Hydro,-22.1533,-48.7525,136.8
Hydro,-25.7667,-52.0833,5.2
Hydro,-24.0242,-47.3556,40.4
Biomass,-22.474,-48.5225,136.0
Hydro,-22.5194,-48.5344,140.76
Hydro,-26.9039,-53.0297,2.25
Hydro,-27.7769,-51.1933,698.25
Biomass,-22.6213,-48.7473,62.9
Hydro,-18.95,-42.6,23.0
Hydro,-21.45,-42.4,39.0
Hydro,-28.0678,-49.1508,15.15
Hydro,-18.7233,-51.0031,90.0
Biomass,-15.0282,-57.2014,30.0
Hydro,-21.9983,-44.4039,1.32
Hydro,-17.35,-47.4833,52.5
Biomass,-20.7537,-47.5664,3.9
Hydro,-23.8397,-47.6531,2.704
Biomass,-21.0061,-47.9836,10.2
Biomass,-6.4123,-35.0462,40.0
Hydro,-27.7808,-54.3734,2.25
Biomass,-20.9362,-48.0708,9.8
Hydro,-26.8333,-53.6667,3.6
Hydro,-3.1264,-51.775,3327.45544
Biomass,-19.5641,-46.8975,2.125
Hydro,-20.2139,-41.9889,9.0
Biomass,-21.2276,-50.7655,4.2
Biomass,-25.5382,-49.3615,12.0
Hydro,-28.8669,-50.939,1.0
Biomass,-18.4371,-49.1806,50.0
Biomass,-23.2655,-52.4761,50.0
Biomass,0.9637,-59.9464,4.8
Biomass,-18.7515,-48.6035,16.0
Biomass,-17.0582,-46.1741,55.0
Biomass,-9.773,-36.0759,62.5
Biomass,-21.6724,-49.7711,28.0
Biomass,-21.2097,-50.1895,65.0
Hydro,-6.752,-43.5641,237.3
Hydro,-28.7527,-51.8436,24.0
Hydro,-11.8803,-46.7717,16.0
Biomass,-18.5423,-50.4335,80.0
Hydro,-24.9229,-51.3963,8.0
Hydro,-12.5303,-57.8808,30.0
Biomass,-8.2781,-35.0286,3.2
Biomass,-22.8693,-47.444,3.6
Biomass,-18.0145,-49.7824,1.5
Hydro,-22.0089,-43.2653,19.0
Hydro,-7.4878,-36.1386,1.0
Biomass,-20.9967,-48.0154,8.0
Biomass,-21.4838,-51.0189,3.98
Hydro,-22.7833,-44.2333,11.52
Hydro,-9.8322,-55.0153,5.18
Hydro,-9.7833,-54.9833,10.752
Hydro,-9.6667,-54.9667,14.16
Hydro,-9.6833,-54.9667,14.0
Hydro,-21.6078,-45.4239,1.0
Hydro,-20.5458,-42.9625,12.4
Hydro,-18.9114,-42.44,1.35
Biomass,-22.3465,-48.0965,70.0
Hydro,-27.0986,-50.13,1.0854
Hydro,-29.3464,-50.7016,11.12
Hydro,-27.925,-54.0792,1.4
Hydro,-19.3333,-52.6667,30.0
Biomass,-20.2147,-47.6444,75.0
Biomass,-20.2143,-47.6439,5.0
Hydro,-11.9272,-46.2972,1.12
Biomass,-29.7825,-55.7695,3.825
Biomass,-27.0016,-49.3639,1.2
Biomass,-17.9237,-49.1895,24.0
Biomass,-30.1293,-51.2975,250.994
Biomass,-15.3429,-49.72,4.0
Hydro,-27.4292,-54.1206,1.0
Biomass,-22.6105,-54.6848,114.0
Hydro,-10.3542,-56.985,30.0
Hydro,-12.9567,-60.1247,2.7
Hydro,-13.0194,-60.1128,2.8
Hydro,-20.495,-43.4828,4.16
Biomass,-19.3074,-50.7083,25.0
Hydro,-12.4922,-60.4717,11.12
Biomass,-9.4383,-35.724,7.4
Hydro,0.8533,-51.2917,219.0
Hydro,-18.5025,-49.4931,658.0
Biomass,-18.4945,-49.6445,40.0
Hydro,-22.7486,-44.9056,1.0
Hydro,-24.0381,-49.4617,3.564
Hydro,-24.0479,-49.4578,2.098
Hydro,-17.0742,-40.0683,14.8
Hydro,-21.8528,-43.8886,2.34
Hydro,-15.5161,-49.4847,3.01
Hydro,-22.57,-46.41,1.25
Hydro,-26.7706,-52.1786,1.0
Hydro,-19.4367,-41.6142,27.0
Hydro,-21.5767,-46.6242,80.4
Hydro,-20.0569,-44.6089,1.172
Hydro,-26.9517,-52.4594,3.2
Hydro,-21.8958,-42.0791,10.0
Hydro,-20.2394,-44.7539,7.2
Hydro,-20.9847,-41.71,19.0
Hydro,-21.3256,-44.6161,46.0
Hydro,-15.9697,-55.0883,3.59
Biomass,-30.8189,-51.7039,4.0
Biomass,-19.8091,-48.7255,30.0
Biomass,-10.4681,-37.1815,25.0
Hydro,-25.4175,-51.7514,1.0
Hydro,-27.6017,-51.3169,880.0
Hydro,-13.3992,-48.1425,450.0
Biomass,-21.6491,-41.3957,44.0
Hydro,-29.3934,-50.7465,42.5
Biomass,-22.9258,-47.5567,30.0
Hydro,-9.9439,-63.0642,17.0
Hydro,-12.7833,-56.0,28.0
Hydro,-22.9414,-50.5169,82.5
Hydro,-22.9361,-50.2497,72.0
Hydro,-24.7458,-52.4681,19.8071
