id,tech,capacity_mw,lcoe_per_mwh,pv_total_costs,pv_generation_mwh,pv_pre_capex_per_mw,pv_construction_capex_per_mw,pv_fixed_opex_per_mw,pv_variable_opex_per_mw,pv_pre_capex,pv_construction_capex,pv_fixed_opex,pv_variable_opex,pv_infra,lcoe_pre,lcoe_cons,lcoe_fixed,lcoe_var,lcoe_infra,lcoe_fuel,lcoe_carbon,capex_df,build_years
solar_21862,PV(50kW+),21.3,42.49590114637249,13601727.759514438,320071.5220196125,50000.0,380952.38095238095,145028.57802325767,0.0,1065000.0,8114285.714285715,3089108.7118953886,0.0,1333333.3333333333,3.3273813092773112,25.35147664211285,9.651307596513076,0.0,4.165735598469247,0.0,0.0,0.9576719576719577,2
solar_21864,PV(50kW+),20.0,42.76667396027299,12852952.512846107,300536.6403940023,50000.0,380952.38095238095,145028.57802325767,0.0,1000000.0,7619047.619047619,2900571.5604651533,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,4.436508412369749,0.0,0.0,0.9576719576719577,2
solar_21865,PV(50kW+),36.0,40.7948924436642,22068647.85645632,540965.9527092042,50000.0,380952.38095238095,145028.57802325767,0.0,1800000.0,13714285.714285715,5221028.808837276,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.4647268957609714,0.0,0.0,0.9576719576719577,2
solar_21874,PV(50kW+),23.0,42.187998949963884,14580895.38977302,345617.1364531027,50000.0,380952.38095238095,145028.57802325767,0.0,1150000.0,8761904.761904761,3335657.2945349263,0.0,1333333.3333333333,3.3273813092773112,25.351476642112846,9.651307596513076,0.0,3.8578334020606504,0.0,0.0,0.9576719576719577,2
solar_21880,PV(50kW+),20.0,42.76667396027299,12852952.512846107,300536.6403940023,50000.0,380952.38095238095,145028.57802325767,0.0,1000000.0,7619047.619047619,2900571.5604651533,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,4.436508412369749,0.0,0.0,0.9576719576719577,2
solar_21887,PV(50kW+),30.0,41.28783782281641,18612762.102602493,450804.9605910035,50000.0,380952.38095238095,145028.57802325767,0.0,1500000.0,11428571.42857143,4350857.34069773,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.9576722749131656,0.0,0.0,0.9576719576719577,2
solar_21899,PV(50kW+),40.0,40.548419754088115,24372571.692358878,601073.2807880046,50000.0,380952.38095238095,145028.57802325767,0.0,2000000.0,15238095.238095239,5801143.120930307,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.2182542061848745,0.0,0.0,0.9576719576719577,2
solar_21909,PV(50kW+),31.3,41.164995204369525,19361537.34927082,470339.84221661364,50000.0,380952.38095238095,145028.57802325767,0.0,1565000.0,11923809.523809524,4539394.492127965,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.834829656466293,0.0,0.0,0.9576719576719577,2
solar_21923,PV(50kW+),25.0,41.87937227779904,15732857.307724299,375670.80049250287,50000.0,380952.38095238095,145028.57802325767,0.0,1250000.0,9523809.523809524,3625714.4505814416,0.0,1333333.3333333333,3.3273813092773117,25.351476642112853,9.651307596513078,0.0,3.549206729895799,0.0,0.0,0.9576719576719577,2
solar_21940,PV(50kW+),32.5,41.0603245709,20052714.500041585,488372.04064025375,50000.0,380952.38095238095,145028.57802325767,0.0,1625000.0,12380952.38095238,4713428.785755875,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513078,0.0,2.7301590229967685,0.0,0.0,0.9576719576719577,2
solar_21942,PV(50kW+),49.0,40.14098530805416,29556400.323139627,736314.7689653056,50000.0,380952.38095238095,145028.57802325767,0.0,2450000.0,18666666.666666668,7106400.323139626,0.0,1333333.3333333333,3.3273813092773117,25.351476642112853,9.651307596513076,0.0,1.810819760150918,0.0,0.0,0.9576719576719577,2
solar_21944,PV(50kW+),29.9,41.297729703334504,18555164.006704926,449302.27738903346,50000.0,380952.38095238095,145028.57802325767,0.0,1495000.0,11390476.19047619,4336354.482895404,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.96756415543127,0.0,0.0,0.9576719576719577,2
solar_21950,PV(50kW+),20.0,42.76667396027299,12852952.512846107,300536.6403940023,50000.0,380952.38095238095,145028.57802325767,0.0,1000000.0,7619047.619047619,2900571.5604651533,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,4.436508412369749,0.0,0.0,0.9576719576719577,2
solar_21951,PV(50kW+),31.0,41.192429039754686,19188743.06157813,465831.7926107036,50000.0,380952.38095238095,145028.57802325767,0.0,1550000.0,11809523.80952381,4495885.918720988,0.0,1333333.3333333333,3.3273813092773112,25.35147664211285,9.651307596513076,0.0,2.8622634918514507,0.0,0.0,0.9576719576719577,2
solar_21954,PV(50kW+),22.0,42.36335501369392,14004914.430797383,330590.30443340255,50000.0,380952.38095238095,145028.57802325767,0.0,1100000.0,8380952.380952381,3190628.7165116686,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,4.033189465790681,0.0,0.0,0.9576719576719577,2
solar_21960,PV(50kW+),25.7,41.78270127737386,16136043.979007246,386189.582906293,50000.0,380952.38095238095,145028.57802325767,0.0,1285000.0,9790476.19047619,3727234.4551977217,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,3.4525357294706214,0.0,0.0,0.9576719576719577,2
