bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
BG40-220,220,f,Substation,f,BG40,23.35048639101081,42.78133114769394,BG,POINT (23.350486391010815 42.78133114769394)
BG41-220,220,f,Substation,f,BG41,23.52396285894454,42.7366075407165,BG,POINT (23.52396285894454 42.7366075407165)
BG42-220,220,f,Substation,f,BG42,23.332601887731453,42.731958496504895,BG,POINT (23.332601887731453 42.731958496504895)
BG43-220,220,f,Substation,f,BG43,23.321572,42.72171458880131,BG,POINT (23.321572 42.72171458880131)
BG44-220,220,f,Substation,f,BG44,25.902054699999983,42.72013568880002,BG,POINT (25.902054699999983 42.72013568880002)
BG45-220,220,f,Substation,f,BG45,25.90603529999999,42.70346438878568,BG,POINT (25.90603529999999 42.703464388785676)
BG46-220,220,f,Substation,f,BG46,26.9480225,42.6614164887496,BG,POINT (26.948022499999997 42.6614164887496)
BG47-220,220,f,Substation,f,BG47,25.297274400000006,42.64879128873876,BG,POINT (25.297274400000006 42.64879128873876)
BG48-400,400,f,Substation,f,BG48,22.99968249999999,42.61505608870969,BG,POINT (22.99968249999999 42.61505608870969)
BG49-220,220,f,Substation,f,BG49,25.3739787069432,42.60858366053812,BG,POINT (25.3739787069432 42.60858366053812)
BG5-400,400,f,Substation,f,BG5,23.759707937278318,43.69364830922488,BG,POINT (23.759707937278314 43.69364830922488)
BG50-220,220,f,Substation,f,BG50,25.998395699999996,42.60654008870234,BG,POINT (25.998395699999993 42.60654008870234)
BG51-400,400,f,Substation,f,BG51,22.995681515507563,42.58358117637941,BG,POINT (22.995681515507563 42.58358117637941)
BG52-400,400,f,Substation,f,BG52,23.00499441142964,42.552358224951455,BG,POINT (23.004994411429642 42.552358224951455)
BG53-400,400,f,Substation,f,BG53,23.07157348938941,42.5014822239664,BG,POINT (23.07157348938941 42.5014822239664)
BG54-400,400,f,Substation,f,BG54,27.0198065,42.49228538860361,BG,POINT (27.019806499999998 42.49228538860361)
BG55-220,220,f,Substation,f,BG55,25.6666346,42.43914518855749,BG,POINT (25.6666346 42.43914518855749)
BG57-220,220,f,Substation,f,BG57,26.1355053168931,42.25775439117216,BG,POINT (26.1355053168931 42.257754391172156)
BG57-400,400,f,Substation,f,BG57,26.135808108650792,42.25790021969916,BG,POINT (26.135808108650792 42.25790021969916)
BG58-400,400,f,Substation,f,BG58,24.91439414074762,42.21123208785927,BG,POINT (24.91439414074762 42.21123208785927)
BG6-400,400,f,Substation,f,BG6,23.818058459308094,43.67032351143239,BG,POINT (23.818058459308098 43.67032351143239)
BG60-400,400,f,Substation,f,BG60,22.9988318,42.16225038831529,BG,POINT (22.998831799999998 42.16225038831529)
BG61-220,220,f,Substation,f,BG61,24.31776761196656,42.15123079272603,BG,POINT (24.31776761196656 42.15123079272603)
BG62-400,400,f,Substation,f,BG62,22.9906554,42.138655188294514,BG,POINT (22.9906554 42.138655188294514)
BG63-400,400,f,Substation,f,BG63,26.1757918,42.12873778828582,BG,POINT (26.1757918 42.12873778828582)
BG64-400,400,f,Substation,f,BG64,25.766078799999995,42.124518588282086,BG,POINT (25.766078799999995 42.124518588282086)
BG65-400,400,f,Substation,f,BG65,25.912649200000004,42.12340338828108,BG,POINT (25.912649200000004 42.12340338828108)
BG66-400,400,f,Substation,f,BG66,25.779795699999998,42.12311778828085,BG,POINT (25.779795699999994 42.12311778828085)
BG68-220,220,f,Substation,f,BG68,24.25759609999999,42.01331008818378,BG,POINT (24.25759609999999 42.01331008818378)
BG7-400,400,f,Substation,f,BG7,23.788349369419564,43.66998307348838,BG,POINT (23.788349369419564 43.66998307348838)
BG70-220,220,f,Substation,f,BG70,24.41165595009576,41.952467788150535,BG,POINT (24.41165595009576 41.952467788150535)
BG71-220,220,f,Substation,f,BG71,24.447754399864657,41.94023058814432,BG,POINT (24.447754399864657 41.940230588144324)
BG72-400,400,f,Substation,f,BG72,26.17289470276464,41.88480925543428,BG,POINT (26.172894702764637 41.88480925543428)
BG74-220,220,f,Substation,f,BG74,24.4245975,41.721285687923256,BG,POINT (24.4245975 41.721285687923256)
BG75-220,220,f,Substation,f,BG75,24.3972991,41.71658178791899,BG,POINT (24.3972991 41.71658178791899)
BG76-220,220,f,Substation,f,BG76,24.339918599999997,41.66326658787101,BG,POINT (24.339918599999994 41.663266587871014)
BG8-400,400,f,Substation,f,BG8,23.722581177408152,43.66316301256066,BG,POINT (23.722581177408152 43.66316301256066)
BG9-400,400,f,Substation,f,BG9,23.67603416937497,43.63895677474192,BG,POINT (23.67603416937497 43.63895677474192)
CH1-220,220,f,Substation,f,CH1,7.971276216184924,47.54489090809811,CH,POINT (7.971276216184924 47.54489090809811)
CH11-220,220,f,Substation,f,CH11,7.777903153061846,47.304724827935445,CH,POINT (7.777903153061846 47.304724827935445)
CH12-220,220,f,Substation,f,CH12,8.98591839231268,47.19084977328445,CH,POINT (8.98591839231268 47.19084977328445)
CH12-380,380,f,Substation,f,CH12,8.986194358351856,47.191043323872165,CH,POINT (8.986194358351856 47.191043323872165)
CH13-220,220,f,Substation,f,CH13,8.914414354956198,47.178826311182746,CH,POINT (8.914414354956198 47.178826311182746)
CH14-220,220,f,Substation,f,CH14,7.64867862873702,47.09248033101623,CH,POINT (7.64867862873702 47.09248033101623)
CH14-380,380,f,Substation,f,CH14,7.64894912036779,47.09267724503219,CH,POINT (7.64894912036779 47.09267724503219)
CH15-220,220,f,Substation,f,CH15,8.226235799999998,47.07525139209797,CH,POINT (8.226235799999998 47.07525139209797)
CH16-380,380,f,Substation,f,CH16,9.102885400000002,46.99866639204784,CH,POINT (9.102885400000002 46.99866639204784)
CH17-380,380,f,Substation,f,CH17,9.480653222217464,46.94826490077518,CH,POINT (9.480653222217464 46.94826490077518)
CH18-220,220,f,Substation,f,CH18,8.986202173368362,46.8814535745526,CH,POINT (8.986202173368362 46.8814535745526)
CH18-380,380,f,Substation,f,CH18,8.986476531960689,46.8816471536762,CH,POINT (8.986476531960689 46.8816471536762)
CH19-220,220,f,Substation,f,CH19,8.093261700000006,46.81011519192313,CH,POINT (8.093261700000006 46.81011519192313)
CH2-220,220,f,Substation,f,CH2,7.9955896,47.53998689239612,CH,POINT (7.9955896 47.539986892396115)
CH20-220,220,f,Substation,f,CH20,8.129042299999997,46.78897599190908,CH,POINT (8.129042299999997 46.78897599190908)
CH21-220,220,f,Substation,f,CH21,9.401878900000003,46.78628529190726,CH,POINT (9.401878900000005 46.78628529190726)
CH22-220,220,f,Substation,f,CH22,9.563242994381405,46.66448012540763,CH,POINT (9.563242994381403 46.66448012540763)
CH22-380,380,f,Substation,f,CH22,9.563518331164898,46.664672258112745,CH,POINT (9.563518331164898 46.664672258112745)
CH23-220,220,f,Substation,f,CH23,8.593162875347948,46.65543434696665,CH,POINT (8.593162875347948 46.65543434696665)
CH24-220,220,f,Substation,f,CH24,8.5784507,46.649952591815854,CH,POINT (8.5784507 46.649952591815854)
