transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
relation/8860331-300-420,relation/8860331-300,relation/8860331-420,300,420,5028,'LINESTRING (6.410297046557281 59.6687830391661, 6.410652126936926 59.668983261515415)'
relation/8886202-300-420,relation/8886202-300,relation/8886202-420,300,420,9385,'LINESTRING (6.663982724931814 59.06038454197493, 6.664333187029427 59.06058405356041)'
relation/8890887-300-420,relation/8890887-300,relation/8890887-420,300,420,7508,'LINESTRING (6.753403351184293 58.670031697732924, 6.753734136337635 58.66987420117838)'
relation/8894066-300-420,relation/8894066-300,relation/8894066-420,300,420,5631,'LINESTRING (6.84788073238772 58.27602566732688, 6.848224705554573 58.27622463397408)'
relation/9220981-220-330,relation/9220981-220,relation/9220981-330,220,330,1107,'LINESTRING (25.26555588922778 50.11828640431186, 25.26590787237417 50.11843288494357)'
relation/9224222-220-330,relation/9224222-220,relation/9224222-330,220,330,4425,'LINESTRING (24.662038256795515 49.204040279718704, 24.66223709458781 49.20384605572032)'
relation/9224222-220-400,relation/9224222-220,relation/9224222-400,220,400,1788,'LINESTRING (24.662038256795515 49.204040279718704, 24.66239493955421 49.204054611853394)'
relation/9224222-330-400,relation/9224222-330,relation/9224222-400,330,400,4425,'LINESTRING (24.66223709458781 49.20384605572032, 24.66239493955421 49.204054611853394)'
relation/9598269-275-400,relation/9598269-275,relation/9598269-400,275,400,3575,'LINESTRING (-2.0436098431814425 53.49226710821048, -2.0433476003013955 53.49248623366183)'
relation/9647250-220-330,relation/9647250-220,relation/9647250-330,220,330,3933,'LINESTRING (38.5659644287836 48.65456555485938, 38.56610551602646 48.65435159493487)'
way/100077745-275-400,way/100077745-275,way/100077745-400,275,400,3575,'LINESTRING (-4.463425800826517 55.57616157201634, -4.46316459970693 55.57638583273199)'
way/100087916-225-400,way/100087916-225,way/100087916-400,225,400,2514,'LINESTRING (5.831540630902974 43.690765345846856, 5.8317890542832975 43.69096703763676)'
way/1000881525-225-400,way/1000881525-225,way/1000881525-400,225,400,3575,'LINESTRING (2.8248888843085473 44.03780246543524, 2.825128145951877 44.03801111746244)'
way/100407576-220-380,way/100407576-220,way/100407576-380,220,380,1699,'LINESTRING (12.245464365750832 45.42934437845401, 12.245742718915631 45.4295296814276)'
way/100454075-220-330,way/100454075-220,way/100454075-330,220,330,2213,'LINESTRING (34.20908451647862 44.926542841343306, 34.209423811572556 44.92666128548854)'
way/100500802-225-400,way/100500802-225,way/100500802-400,225,400,2011,'LINESTRING (6.29628547217148 46.08379271563507, 6.296546045481004 46.083993032256345)'
way/100804905-220-400,way/100804905-220,way/100804905-400,220,400,7150,'LINESTRING (18.832919597724036 47.33786604443149, 18.8332308599462 47.33803270017944)'
way/100872886-220-400,way/100872886-220,way/100872886-400,220,400,5363,'LINESTRING (19.162013274781835 47.692074348406244, 19.162327879441566 47.692239978554205)'
